GEOID20,corridor,acres,parcels,units_per_block,headroom_mh_byright,headroom_mh_bonus,headroom_corridor_est,headroom_hillside,headroom_total
060014240022012,,1.4786786026995173,12,31,41,65,65,0,106
060014220002000,,1.7208418765373394,6,0,0,0,130,0,130
060014220002013,,2.4280574782963664,6,0,0,0,167,0,167
060014221001000,,1.5387252103960385,17,15,0,0,271,0,271
060014221001015,,1.5098138807643802,5,4,0,0,105,0,105
060014221001016,,2.457463018690959,1,5,0,0,0,0,0
060014221002000,,1.9064180180191805,14,16,0,0,229,0,229
060014221002015,,2.0885346841604813,9,14,0,0,159,0,159
060014221002016,,1.3445003805628466,4,6,0,0,109,0,109
060014232001014,,1.7836066434299993,3,1,0,0,80,0,80
060014232001015,,2.128071545195228,11,10,0,0,166,0,166
060014232002000,,2.1893536797990847,8,1,0,0,195,0,195
060014232002006,,2.2704042449203152,4,1,0,0,138,0,138
060014220001031,,3.594889089584321,5,0,0,0,280,0,280
060014220001038,,1.7818769057597292,6,5,0,0,238,0,238
060014220001039,,0.9822438913319822,37,33,0,0,61,0,61
060014220001057,,2.322790585791354,10,7,0,0,181,0,181
060014220001063,,0.7452698305049706,3,4,0,0,45,0,45
060014230001008,,2.4337409020701113,18,29,122,194,0,0,122
060014230003003,,1.1085147412617036,9,9,63,99,0,0,63
060014230003008,,2.3198253212137483,20,22,138,218,0,0,138
060014225001000,,2.125600491380556,5,5,0,0,0,0,0
060014235002000,,3.591429614243781,28,36,178,282,19,0,197
060014235003012,,0.34817148248723595,0,0,0,0,0,0,0
060014239011003,,0.593300020902664,4,9,0,0,52,0,52
060014239011015,,0.7932082745096007,5,4,35,55,0,0,35
060014239011021,,0.3748588636856898,0,0,0,0,0,0,0
060014238003017,College–Elmwood,5.990328657527022,52,91,289,461,72,0,361
060014236022005,Telegraph,3.5808040828406926,15,143,0,0,283,0,283
060014238003005,,0.5979950231505401,0,0,0,0,0,0,0
060014225003003,,1.7539539976539396,11,28,0,0,67,0,67
060014232002008,,4.787666765926328,37,47,222,354,34,0,256
060014240021005,,1.0578581380609349,0,98,0,0,0,0,0
060014240022010,,1.9410127714245837,14,24,92,148,0,0,92
060014235002002,,0.3827662358926391,0,0,0,0,0,0,0
060014238001006,,0.3212369959073149,0,0,0,0,0,0,0
060014237002016,,0.4168667785351079,1,0,0,0,8,0,8
060014223001013,,4.3320044425008755,35,41,238,378,0,0,238
060014222002013,,0.5782265926331669,0,0,0,0,0,0,0
060014220001068,,1.3921917191860096,3,0,0,0,55,0,55
060014220001034,,4.067107473568075,5,0,0,0,307,0,307
060014239011009,,7.317037450624233,1,2,0,0,815,0,815
060014220001059,,0.5755084334370281,0,0,0,0,0,0,0
060014233003006,,2.857773736667767,19,16,0,0,173,0,173
060014234003013,,4.671280131255293,35,49,178,282,125,0,303
060014224002005,,1.031417862243948,14,12,98,154,0,0,98
060014230003004,,2.7324913082639144,9,87,63,99,0,0,63
060014215003003,,2.3979106217573722,17,18,0,0,0,0,0
060014223003004,,0.8233551310485949,4,8,24,40,0,0,24
