camera_rank,project_id,address,units,status,nearest_m,dwell_s,n_tours,has_tabulation,has_plan_set,harvest_target
1,33,130 BERKELEY Sq,50,In Review,16,178.7,7,0,0,1
2,12,2115 KITTREDGE St,148,In Review,26,175.2,5,0,0,1
3,180,2065 Kittredge St,189,Entitled,25,174.7,5,0,1,1
4,113,2138 KITTREDGE St,73,Permitted,6,166.1,6,0,0,1
5,2,2276 SHATTUCK Ave,336,Entitled,31,160.8,5,0,1,1
6,35,2190 SHATTUCK Ave,452,In Review,16,159.4,7,1,1,0
7,182,2072 Addison St,66,Completed,8,158.7,6,0,0,1
8,120,2274 SHATTUCK Ave,299,Entitled,10,150.5,5,0,1,1
9,20,2036 BANCROFT Way,85,In Review,40,135.5,5,0,1,1
10,135,2150 Kittredge St,169,Completed,17,135.1,5,0,0,1
11,136,1951 Shattuck Ave,163,Completed,35,123.7,5,0,0,1
12,178,2131 University Ave,205,Completed,34,121.8,5,0,0,1
13,119,1974 SHATTUCK Ave,599,Entitled,34,121.2,5,1,1,0
14,123,2037 DURANT Ave,74,Entitled,37,109.5,5,0,0,1
15,179,2352 Shattuck Ave,237,Completed,23,61.2,3,0,1,1
16,13,2420 SHATTUCK Ave,132,In Review,36,57.2,3,1,0,0
17,176,2440 SHATTUCK Ave,40,Completed,32,54.2,3,0,0,1
18,15,2109 VIRGINIA St,110,Entitled,17,51.7,3,1,1,0
19,91,2009 ADDISON St,45,Completed,18,51.5,3,0,0,1
20,141,2016 ASHBY Ave,50,Withdrawn,14,49.5,4,0,0,1
21,17,2109 MILVIA St,105,In Review,30,47.0,3,0,1,1
22,166,3031 ADELINE St,64,In Review,30,47.0,4,0,0,1
23,6,2029 UNIVERSITY Ave,240,Entitled,9,45.1,3,0,1,1
24,38,2449 DWIGHT Way,39,Entitled,48,43.5,5,1,1,0
25,124,2442 HASTE St,34,Under Construction,59,43.5,5,0,1,1
26,25,2455 TELEGRAPH Ave,68,In Review,70,43.5,5,0,0,1
27,164,1752 SHATTUCK Ave,72,Completed,34,43.2,2,0,0,1
