JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_PROPOSED_UNITS,TOT_APPROVED_UNITS,TOT_DISAPPROVED_UNITS,APP_SUBMITTED_SB35,DENSITY_BONUS_RECEIVED,DENSITY_BONUS_APPROVED,APPLICATION_STATUS,PROJECT_TYPE,NOTES
BERKELEY,Alameda,2024,,058 214901904,"1750 SACRAMENTO St, BERKELEY, CA 94702",North Berkeley BART,PLN2024-0010,5+,Renter,2024-12-11,248,0,133,0,0,0,358,739,739,0,AB 2011 (2022),Yes,Yes,Approved,Ministerial,
BERKELEY,Alameda,2024,,057 202901500,"2138 KITTREDGE St, BERKELEY, CA 94704",,ZP2024-0114,5+,Renter,2024-09-05,5,0,0,0,0,0,61,66,0,0,None,No,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,053 166101100,"2820 SAN PABLO Ave, BERKELEY, CA 94702",,ZP2022-0038,SFD,Owner,2024-12-06,0,0,0,0,0,0,1,1,1,0,None,No,No,Approved,Discretionary,
BERKELEY,Alameda,2024,,057 205300200,"1974 SHATTUCK Ave, BERKELEY, CA 94704",,ZP2023-0040,5+,Renter,2024-04-11,58,0,0,0,0,0,541,599,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,057 202301601,"2109 MILVIA St, BERKELEY, CA 94704",,ZP2023-0099,5+,Renter,2024-04-11,11,0,0,0,0,0,94,105,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 183001600,"2204 DWIGHT Way, BERKELEY, CA 94704",,ZP2024-0059,2 to 4,Renter,2024-06-06,0,0,0,0,0,0,2,2,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 189400200,"2037 DURANT Ave, BERKELEY, CA 94704",,ZP2023-0064,5+,Renter,2024-03-29,4,0,0,0,0,0,70,74,74,0,None,Yes,Yes,Approved,Discretionary,
BERKELEY,Alameda,2024,,054 172300100,"2700 SHATTUCK Ave, BERKELEY, CA 94705",,ZP2024-0058,5+,Renter,2024-10-10,0,23,0,0,0,0,253,276,0,0,None,Yes,Yes,Pending,Discretionary,SB 330 Resubmitted/Updated in 2025
BERKELEY,Alameda,2024,,055 188700100,"2298 DURANT Ave, BERKELEY, CA 94704",,ZP2024-0126,5+,Renter,2024-10-21,5,0,0,0,0,0,60,65,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,054 174400700,"2720 SAN PABLO Ave, BERKELEY, CA 94702",,ZP2024-0076,5+,Renter,2024-11-15,10,0,0,0,6,0,101,117,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 187802000,"2462 BANCROFT Way, BERKELEY, CA 94704",,ZP2023-0107,5+,Renter,2024-02-15,3,0,0,0,0,0,63,66,66,0,None,Yes,Yes,Approved,Discretionary,
BERKELEY,Alameda,2024,,055 188400600,"2317 CHANNING Way, BERKELEY, CA 94704",,ZP2024-0033,5+,Renter,2024-04-18,0,0,0,0,0,0,5,5,5,0,None,No,No,Approved,Discretionary,Modification to approved UPPH 2020-0090 increasing the unit count from 17 to 22
BERKELEY,Alameda,2024,,052 157404601,"3036 REGENT St, BERKELEY, CA 94705",,ZP2024-0122,SFD,Owner,2024-10-07,0,0,0,0,0,0,1,1,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,053 165803500,"2833 SEVENTH St, BERKELEY, CA 94710",,ZP2023-0123,5+,Renter,2024-02-26,0,0,0,0,0,0,1,1,1,0,None,No,No,Approved,Discretionary,
BERKELEY,Alameda,2024,,055 189401704,"2036 BANCROFT Way, BERKELEY, CA 94704",,ZP2024-0079,5+,Renter,2024-11-15,4,0,0,0,0,0,83,87,0,0,None,Yes,Yes,Pending,Discretionary,SB330
BERKELEY,Alameda,2024,,063 298803800,"1136 KEITH Ave, BERKELEY, CA 94708",,PLN2024-0047,SFD,Owner,2024-07-29,0,0,0,0,0,0,1,1,1,0,SB 9 (2021) - Duplex in SF Zone,No,No,Approved,Ministerial,"1 SFD Demolished, 1 SFD Rebuilt"
BERKELEY,Alameda,2024,,057 202800300,"2274 SHATTUCK Ave, BERKELEY, CA 94704",,ZP2023-0079,5+,Renter,2024-01-04,23,0,0,0,0,0,204,227,227,0,None,Yes,Yes,Approved,Discretionary,
BERKELEY,Alameda,2024,,061 255503101,"1048 KEITH Ave, BERKELEY, CA 94708",,ZP2024-0014,SFD,Owner,2024-02-29,0,0,0,0,0,0,1,1,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 182601802,"2655 SHATTUCK Ave, BERKELEY, CA 94704",,ZP2024-0057,5+,Renter,2024-08-19,10,0,0,0,0,0,87,97,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,052 157405200,"3035 COLBY St, BERKELEY, CA 94705",,ZP2024-0112,2 to 4,Renter,2024-09-16,0,0,0,0,0,0,2,2,0,0,None,No,No,Pending,Discretionary,demo rebuild 1:1
BERKELEY,Alameda,2024,,055 188101800,"2442 HASTE St, BERKELEY, CA 94704",,ZP2024-0070,5+,Renter,2024-10-08,2,0,0,0,0,0,34,36,0,0,None,Yes,Yes,Pending,Discretionary,SB 330 Pre-App PLN2024-0009 Closed
BERKELEY,Alameda,2024,,055 189700600,"2450 SHATTUCK Ave, BERKELEY, CA 94704",,ZP2024-0047,5+,Renter,2024-09-06,8,0,0,0,0,0,86,94,0,0,None,Yes,Yes,Pending,Discretionary,SB 330
BERKELEY,Alameda,2024,,057 207100601,"1581 UNIVERSITY Ave, BERKELEY, CA 94703",,ZP2024-0074,5+,Renter,2024-11-17,14,0,0,0,9,0,135,158,0,0,None,Yes,Yes,Pending,Discretionary,SB 330
BERKELEY,Alameda,2024,,055 182901100,"0 PARKER St, BERKELEY, CA 94703",,ZP2024-0100,SFD,Owner,2024-08-08,0,0,0,0,0,0,1,1,1,0,None,No,No,Approved,Discretionary,
BERKELEY,Alameda,2024,,059 231501400,"811 CEDAR St, BERKELEY, CA 94710",,ZP2024-0116,SFD,Owner,2024-12-19,0,0,0,0,0,0,1,1,0,0,None,No,No,Pending,Discretionary,Demo SFD to construct a mixed use building with 1 dwelling unit above office
BERKELEY,Alameda,2024,,058 224402501,"0 LE ROY Ave, BERKELEY, CA 94708",,PLN2024-0024,SFD,Owner,2024-04-24,0,0,0,0,0,0,1,1,0,0,SB 9 (2021) - Duplex in SF Zone,No,No,Pending,Ministerial,
BERKELEY,Alameda,2024,,055 183001400,"2201 BLAKE St, BERKELEY, CA 94704",,ZP2024-0060,2 to 4,Renter,2024-10-24,0,0,0,0,0,0,3,3,0,0,None,No,No,Pending,Discretionary,See also SB 330 Pre-App PLN2024-0001
BERKELEY,Alameda,2024,,054 174203200,"2733 SAN PABLO Ave, BERKELEY, CA 94702",,ZP2023-0090,5+,Renter,2024-05-09,16,0,0,0,0,0,136,152,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 187701601,"2530 BANCROFT Way, BERKELEY, CA 94704",,ZP2023-0126,5+,Renter,2024-03-12,11,0,0,0,0,0,99,110,110,0,None,Yes,Yes,Approved,Discretionary,
BERKELEY,Alameda,2024,,057 202201701,"2100 MILVIA St, BERKELEY, CA 94704",,ZP2023-0163,5+,Renter,2024-05-17,11,0,0,0,0,0,190,201,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,053 168602000,"2847 SHATTUCK Ave, BERKELEY, CA 94705",,ZP2024-0077,5+,Renter,2024-11-22,13,0,0,0,0,0,123,136,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,056 192802200,"2427 SAN PABLO Ave, BERKELEY, CA 94702",,ZP2022-0115,5+,Renter,2024-12-06,5,0,3,0,0,0,0,8,8,0,None,No,No,Approved,Discretionary,
BERKELEY,Alameda,2024,,057 211700401,"1614 SIXTH St, BERKELEY, CA 94710",,ZP2024-0008,2 to 4,Renter,2024-02-22,0,0,0,0,0,0,2,2,2,0,None,No,No,Approved,Discretionary,
BERKELEY,Alameda,2024,,055 187100103,"2680 BANCROFT Way, BERKELEY, CA 94704",,ZP2024-0029,5+,Renter,2024-04-30,9,0,0,0,0,0,70,79,0,0,None,Yes,Yes,Pending,Discretionary,SB 330
