OBJECTID,APN,calculated_far_First,far_ratios,Shape__Area,Shape__Length
1,62-2848-14,0.64,0.64,206.583740234375,69.67447232334916
2,62-2848-13,1.04,1.04,1030.6005859375,142.03914789347908
3,62-2870-20,1.01,1.01,516.955322265625,112.90425363980685
4,62-2870-19,0.6,0.6,248.92626953125,74.43304136952268
5,62-2870-18,0.55,0.55,264.291015625,87.05956747078196
6,62-2870-17-2,0.65,0.65,528.843994140625,99.9716650435866
7,62-2870-16,0.63,0.63,578.9248046875,98.19097094563476
8,62-2872-25,1.22,1.22,323.55615234375,75.27937511685025
9,62-2872-26,1.17,1.17,255.24169921875,69.56848815759696
10,62-2872-24,0.93,0.93,210.37890625,61.93133722202868
11,62-2872-23,1.05,1.05,132.349365234375,51.067858467906646
12,62-2872-22,0.0,0,328.40673828125,74.54871392071341
13,62-2872-21,0.65,0.65,192.677001953125,64.96355433992485
14,62-2872-20,0.0,0,201.593994140625,69.08860471124692
15,62-2872-19,0.65,0.65,207.6591796875,73.07597307364719
16,62-2872-18,0.0,0,258.330810546875,78.34203198213565
17,62-2872-17,0.57,0.57,701.25732421875,107.94804452865657
18,62-2871-22,1.53,1.53,359.081787109375,84.8279343214801
19,62-2871-21,1.21,1.21,355.808837890625,77.16715333425607
20,62-2871-20,0.71,0.71,325.425048828125,73.14228233703774
21,62-2871-19,0.6,0.6,361.76318359375,78.79824123886652
22,62-2871-16-1,2.49,2.49,405.141357421875,85.04782920096474
23,62-2871-15-1,0.0,0,1024.197509765625,129.3478984007588
24,62-2871-12-1,0.87,0.87,589.20458984375,108.8105397127614
25,62-2871-11,0.23,0.23,650.04541015625,116.58569504792423
26,62-2871-10,0.0,0,555.6064453125,109.79995177809474
27,61-2614-1,0.72,0.72,478.06689453125,93.7943676835534
29,61-2614-2,0.28,0.28,445.99853515625,92.69425403316342
30,62-2871-7-2,1.67,1.67,1468.418701171875,157.86712808293169
31,61-2614-3,0.68,0.68,614.112548828125,115.57541052933955
32,61-2614-4,0.31,0.31,581.26171875,110.42184477279277
33,Multiple Values,Multiple Values,,504.69970703125,101.5084768452674
34,61-2602-9,0.87,0.87,850.44775390625,125.40384498569347
35,61-2613-1-1,0.76,0.76,681.641357421875,106.77625283779707
36,61-2602-8,0.52,0.52,731.502197265625,113.24788487983042
37,61-2602-6,0.82,0.82,378.161376953125,93.64254504837743
38,61-2613-5-1,1.3,1.3,956.667236328125,124.60464011381646
39,61-2602-5,1.25,1.25,365.332275390625,93.15317990954578
40,61-2602-4,0.64,0.64,370.9072265625,93.43256167486769
41,61-2613-6,1.05,1.05,553.403564453125,94.43087650669605
42,61-2602-3-2,0.0,0,380.689697265625,93.57658014281499
43,61-2602-3-1,0.0,0,753.260498046875,114.29131526578982
44,61-2602-2,0.98,0.98,466.271484375,98.6282872312103
45,61-2612-1,0.33,0.33,1130.440673828125,131.95603100553188
46,61-2602-51,0.5,0.5,1015.1904296875,137.136008876892
47,61-2612-2,2.57,2.57,1270.72021484375,141.0675973928291
52,61-2602-50,0.6,0.6,382.21435546875,94.42653834943088
53,61-2602-49,0.75,0.75,388.975341796875,94.8043665752857
54,61-2602-48,0.82,0.82,912.898681640625,123.34883110837868
55,61-2611-1-2,0.03,0.03,1039.391845703125,126.4564108106995
56,61-2602-47,0.91,0.91,286.78857421875,88.91651138874505
57,61-2611-25-4,0.0,0,1401.04052734375,149.75212964444097
58,61-2602-46,0.0,0,296.76416015625,89.32518846813562
59,61-2611-23,0.19,0.19,995.87646484375,127.30657907212876
60,61-2602-45,1.33,1.33,360.585693359375,92.76081539588559
61,61-2611-28-1,0.83,0.83,2172.705078125,238.73272312133534
62,61-2602-44-1,0.79,0.79,674.2177734375,109.87636240168689
63,61-2611-4,0.0,0,448.164794921875,97.46101833003047
64,61-2602-43-1,0.7,0.7,201.16650390625,85.87657458755923
65,61-2611-25-3,0.0,0,910.737548828125,123.18573046940722
66,61-2602-40-1,1.02,1.02,1455.056884765625,159.4910686886198
67,61-2603-1,0.71,0.71,724.96826171875,109.57669664533644
68,61-2602-38,0.97,0.97,294.7333984375,89.32553402720968
69,61-2602-37,0.85,0.85,330.977783203125,91.35177011145116
70,61-2603-3-3,0.83,0.83,695.456298828125,109.16300258368145
71,61-2602-35-4,0.0,0,410.892822265625,99.78390065834684
