name,fp_sqft,parcel_sqft,ratio,nparc,project_id,plans,tabulation,r2_docs,CROSSES_LINES,EXCEEDS_LOTS,has_measure_doc
2400 Bowditch St · North · 750 units · Pre-Application,18295,122138,0.15,1,171.0,0,0,0,False,False,False
2556 Haste St · 556 units · Under Construction,33967,119719,0.28,1,177.0,0,0,0,False,False,False
2200 Bancroft Way · North · 550 units · Under Construction,10513,125124,0.08,2,165.0,0,0,0,True,False,False
1950 Oxford St · 772 units · Completed,43973,40180,1.09,6,170.0,0,0,0,True,True,False
1750 Sacramento St · 739 units · Entitled,65561,353451,0.19,4,1.0,6,0,6,True,False,True
1974 Shattuck Ave · 599 units · Entitled,24114,67698,0.36,7,119.0,4,1,6,True,False,True
2128 Oxford St · 485 units · Entitled,16817,57528,0.29,6,133.0,7,0,7,True,False,True
2190 Shattuck Ave · 452 units · In Review,20126,65507,0.31,3,35.0,1,1,3,True,False,True
2700 Shattuck Ave · 359 units · In Review,57861,131979,0.44,3,3.0,5,0,5,True,False,True
2276 Shattuck Ave · 336 units · Entitled,8940,32372,0.28,2,2.0,4,0,4,True,False,True
2274 Shattuck Ave · 299 units · Entitled,23231,71706,0.32,4,120.0,2,0,2,True,False,True
1914 Fifth St · 257 units · In Review,16817,30400,0.55,1,4.0,1,0,1,False,False,True
2029 University Ave · 240 units · Entitled,11591,20326,0.57,2,6.0,3,0,3,True,False,True
2352 Shattuck Ave · 237 units · Completed,47287,87520,0.54,24,179.0,6,0,6,True,False,True
2601 San Pablo Ave · 223 units · In Review,3670,11855,0.31,2,7.0,2,1,4,True,False,True
2920 Shattuck Ave · 242 units · In Review,19519,55519,0.35,7,8.0,4,1,6,True,False,True
1899 Oxford St · 212 units · Entitled,15413,23102,0.67,2,9.0,4,1,6,True,False,True
1598 University Ave · 207 units · Completed,12685,33166,0.38,7,152.0,3,0,0,True,False,True
2100 Milvia St · 205 units · Entitled,27068,48517,0.56,4,121.0,2,0,2,True,False,True
2131 University Ave · 205 units · Completed,8410,25175,0.33,2,178.0,0,0,0,True,False,False
2065 Kittredge St · 189 units · Entitled,31584,71125,0.44,4,180.0,8,0,8,True,False,True
2150 Kittredge St · 169 units · Completed,7103,33765,0.21,3,135.0,0,0,0,True,False,False
2015 Blake St · 168 units · Entitled,5988,12634,0.47,2,181.0,5,0,5,True,False,True
3000 Shattuck Ave · 166 units · Entitled,11123,23937,0.46,4,10.0,3,1,5,True,False,True
1951 Shattuck Ave · 163 units · Completed,13311,31745,0.42,3,136.0,0,0,0,True,False,False
1581 University Ave · 158 units · In Review,6489,22146,0.29,4,11.0,1,0,1,True,False,True
2115 Kittredge St · 148 units · In Review,13382,21955,0.61,3,12.0,0,0,0,True,False,False
3030 Telegraph Ave · 144 units · Completed,27543,41206,0.67,5,150.0,3,0,0,True,False,True
2420 Shattuck Ave · 132 units · In Review,4060,22768,0.18,4,13.0,0,1,2,True,False,True
2847 Shattuck Ave · 132 units · In Review,11246,11246,1.0,1,14.0,0,0,0,False,False,False
2109 Virginia St · 110 units · Entitled,22730,31246,0.73,3,15.0,5,3,7,True,False,True
2136 San Pablo Ave · 125 units · Entitled,24251,66270,0.37,7,140.0,8,0,8,True,False,True
2425 Durant Ave · 117 units · Entitled,9257,19848,0.47,2,5.0,6,0,3,True,False,True
2720 San Pablo Ave · 113 units · In Review,9524,26286,0.36,37,16.0,0,0,0,True,False,False
2000 Dwight Way · 113 units · Completed,3640,6066,0.6,2,173.0,0,0,0,True,False,False
2530 Bancroft Way · 110 units · Entitled,16048,33662,0.48,4,122.0,2,0,2,True,False,True
1717 SAN PABLO Ave,47964,208725,0.23,2,,0,0,0,True,False,False
2109 Milvia St · 105 units · In Review,7053,16023,0.44,3,17.0,1,0,2,True,False,True
2198 San Pablo Ave · 100 units · Entitled,9961,14845,0.67,2,149.0,14,3,8,True,False,True
2655 Shattuck Ave · 97 units · Entitled,19006,24103,0.79,1,18.0,0,0,1,False,False,False
2450 Shattuck Ave · 94 units · In Review,15913,32295,0.49,3,19.0,0,0,0,True,False,False
2001 Ashby Ave · 87 units · Completed,26302,35286,0.75,3,154.0,7,1,0,True,False,True
2036 Bancroft Way · 85 units · In Review,30718,50071,0.61,2,20.0,0,0,0,True,False,False
1700 Sacramento St · 85 units · In Review,4104,15156,0.27,3,155.0,0,0,0,True,False,False
2538 Durant Ave · 83 units · Under Construction,6277,79852,0.08,3,139.0,3,0,0,True,False,True
2000 University Ave · 82 units · Completed,4965,6678,0.74,2,137.0,0,0,0,True,False,False
1708 Harmon St · 80 units · Permitted,45613,54616,0.84,6,145.0,0,0,0,True,False,False
2680 Bancroft Way · 79 units · Entitled,7472,16583,0.45,1,34.0,1,0,1,False,False,True
2660 Bancroft Way · 78 units · In Review,6746,92927,0.07,3,21.0,0,0,0,True,False,False
2427 San Pablo · 78 units · Completed,5423,10903,0.5,2,126.0,3,0,3,True,False,True
2955 Shattuck Ave · 74 units · In Review,1113,25131,0.04,4,22.0,0,0,0,True,False,False
2037 Durant Ave · 74 units · Entitled,12401,65750,0.19,4,123.0,0,0,1,True,False,False
2138 Kittredge St · 73 units · Permitted,6647,33769,0.2,3,113.0,0,0,1,True,False,False
2099 Mlk Jr Way · 72 units · Completed,12557,12557,1.0,1,,0,0,0,False,False,False
2550 Shattuck Ave · 72 units · Entitled,12871,32717,0.39,3,156.0,5,0,5,True,False,True
2326 Durant Ave · 70 units · In Review,7568,31723,0.24,4,23.0,0,0,0,True,False,False
2300 Ellsworth St · 69 units · Under Construction,6550,119064,0.06,3,147.0,0,0,0,True,False,False
2330 Durant Ave · 68 units · In Review,6430,28783,0.22,5,24.0,0,0,0,True,False,False
2455 Telegraph Ave · 68 units · In Review,8063,17689,0.46,3,25.0,0,0,0,True,False,False
1752 Shattuck Ave · 72 units · Completed,9870,45967,0.21,4,164.0,0,0,0,True,False,False
2462 Bancroft Way · 66 units · Entitled,7182,43148,0.17,5,116.0,3,0,3,True,False,True
2072 Addison St · 66 units · Completed,9718,34415,0.28,4,182.0,0,0,0,True,False,False
2298 Durant Ave · 65 units · In Review,8907,19552,0.46,3,26.0,4,0,4,True,False,True
2441 Le Conte Ave · 65 units · Completed,13461,42977,0.31,2,27.0,0,0,0,True,False,False
3031 Adeline St · 64 units · In Review,11257,27063,0.42,1,166.0,0,0,0,False,False,False
2372 Ellsworth St · 63 units · Entitled,9760,16086,0.61,2,28.0,0,0,1,True,False,False
2001 Center St · 58 units · In Review,5957,5957,1.0,1,30.0,0,0,0,False,False,False
2127 Dwight Way · 58 units · Withdrawn,23164,23164,1.0,1,144.0,25,0,0,False,False,True
2712 Telegraph Ave · 57 units · In Review,4021,7231,0.56,2,31.0,0,0,0,True,False,False
1740 San Pablo Ave · 54 units · Permitted,14162,25062,0.57,3,32.0,0,0,0,True,False,False
2902 Adeline St · 54 units · Withdrawn,7328,14243,0.51,3,143.0,20,0,0,True,False,True
2587 Telegraph Ave · 52 units · Withdrawn,18782,30386,0.62,2,157.0,20,2,5,True,False,True
130 Berkeley Sq · 50 units · In Review,2440,4824,0.51,2,33.0,0,0,0,True,False,False
2016 Ashby Ave · 50 units · Withdrawn,4719,13868,0.34,3,141.0,4,1,0,True,False,True
2350 Telegraph Ave · 48 units · In Review,4714,45210,0.1,3,142.0,0,0,0,True,False,False
2727 Haste St · 45 units · In Review,7245,23575,0.31,2,114.0,0,0,0,True,False,False
2650 Telegraph Ave · 45 units · Completed,11481,24798,0.46,4,172.0,0,0,0,True,False,False
2435 San Pablo Ave · 40 units · In Review,7656,12717,0.6,3,167.0,0,0,0,True,False,False
2440 Shattuck Ave · 40 units · Completed,8900,16936,0.53,2,176.0,0,0,0,True,False,False
2449 Dwight Way · 39 units · Entitled,10869,16994,0.64,2,38.0,8,2,6,True,False,True
1367 University Ave · 39 units · Completed,5284,10504,0.5,2,158.0,0,0,0,True,False,False
2403 San Pablo Ave · 36 units · Under Construction,7885,23554,0.33,2,159.0,4,0,0,True,False,True
1698 University Ave · 36 units · Completed,10138,20764,0.49,4,175.0,0,0,0,True,False,False
2442 Haste St · 34 units · Under Construction,6599,117894,0.06,3,124.0,1,0,1,True,False,True
2733 San Pablo Ave · 152 units · In Review,16652,28904,0.58,4,36.0,2,2,4,True,False,True
2614 Telegraph Ave · 31 units · In Review,6007,29942,0.2,9,37.0,0,0,0,True,False,False
