rank,units,project_id,address,is_uc,bp_records,zoning_records,max_bp_valuation,latest_bp_issued,parcels_spanned,fp_over_lots_ratio,docs_held,harvest_note
1,772,170,1950 OXFORD St,True,,,,,6,1.09,1,"UC PROJECT — no city permit (UC self-permits); harvest plans from UC, not the Accela portal"
2,550,165,2200 BANCROFT Way,True,,,,,2,0.08,0,"UC PROJECT — no city permit (UC self-permits); harvest plans from UC, not the Accela portal"
3,550,165,2200 BANCROFT Way,True,,,,,2,0.11,0,"UC PROJECT — no city permit (UC self-permits); harvest plans from UC, not the Accela portal"
4,205,178,2131 University Ave,False,,,,,2,0.33,0,NO city record on file — find the Accela case number first (portal search by address)
5,169,135,2150 Kittredge St,False,B2021-00008 B2022-05181 B2023-01578,,35817587.0,2023-05-11,3,0.21,0,BP record on file — plans attach to this permit; harvest its plan set
6,163,136,1951 Shattuck Ave,False,B2021-04893,,50000000.0,,3,0.42,0,BP record on file — plans attach to this permit; harvest its plan set
7,148,12,2115 KITTREDGE St,False,,ZP2024-0131,,,3,0.61,0,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
8,113,16,2720 SAN PABLO Ave,False,,ZP2023-0058,,,37,0.36,5,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
9,113,173,2000 DWIGHT Way,False,B2021-02404 B2023-00675,,18653872.0,2023-08-25,2,0.6,0,BP record on file — plans attach to this permit; harvest its plan set
10,94,19,2450 SHATTUCK Ave,False,,ZP2024-0047,,,3,0.49,5,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
11,85,20,2036 BANCROFT Way,False,,ZP2024-0079,,,2,0.61,0,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
12,85,155,1700 SACRAMENTO St,False,,,,,3,0.27,0,NO city record on file — find the Accela case number first (portal search by address)
13,82,137,2000 University Ave,False,B2022-06060,,,2023-06-16,2,0.74,0,BP record on file — plans attach to this permit; harvest its plan set
14,80,145,1708 HARMON St,False,,,,,6,0.84,9,NO city record on file — find the Accela case number first (portal search by address)
15,78,21,2660 BANCROFT Way,False,,ZP2023-0095,,,3,0.07,0,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
16,78,168,3000 SAN PABLO Ave,False,B2020-04316,,,,2,0.46,0,BP record on file — plans attach to this permit; harvest its plan set
17,74,22,2955 SHATTUCK Ave,False,,ZP2024-0071,,,4,0.04,0,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
18,74,123,2037 DURANT Ave,False,,ZP2023-0064,,,4,0.19,1,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
19,73,113,2138 KITTREDGE St,False,B2024-04964,,690.0,2024-10-16,3,0.2,1,BP record on file — plans attach to this permit; harvest its plan set
20,72,164,1752 SHATTUCK Ave,False,B2023-00774 B2023-01026 B2025-00920,,10050817.0,2025-04-17,4,0.21,3,BP record on file — plans attach to this permit; harvest its plan set
21,70,23,2326 DURANT Ave,False,,,,,4,0.24,0,NO city record on file — find the Accela case number first (portal search by address)
22,69,147,2300 ELLSWORTH St,False,B2024-05944 B2025-00388 B2025-02211,,19715350.0,2025-09-04,3,0.06,11,BP record on file — plans attach to this permit; harvest its plan set
23,68,25,2455 TELEGRAPH Ave,False,,ZP2026-0015,,,3,0.46,0,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
24,68,24,2330 DURANT Ave,False,,,,,5,0.22,0,NO city record on file — find the Accela case number first (portal search by address)
25,66,182,2072 Addison St,False,B2018-04293,,,,4,0.28,0,BP record on file — plans attach to this permit; harvest its plan set
26,65,27,2441 LE CONTE Ave,False,B2025-01864,ZP2023-0089,,2025-05-07,2,0.31,0,BP record on file — plans attach to this permit; harvest its plan set
27,63,28,2372 ELLSWORTH St,False,,,,,2,0.61,1,NO city record on file — find the Accela case number first (portal search by address)
28,57,31,2712 TELEGRAPH Ave,False,,ZP2025-0105,,,2,0.56,0,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
29,54,32,1740 SAN PABLO Ave,False,B2022-05881,,11549102.0,2025-12-18,3,0.57,0,BP record on file — plans attach to this permit; harvest its plan set
30,50,33,130 BERKELEY Sq,False,,ZP2021-0158,,,2,0.51,0,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
31,48,142,2350 TELEGRAPH Ave,False,,,,,3,0.1,3,NO city record on file — find the Accela case number first (portal search by address)
32,45,114,2727 HASTE St,False,,ZP2026-0007,,,2,0.31,0,only a zoning/pre-app record — pull schematic/site plan; BP may not be issued yet
33,45,172,2650 TELEGRAPH Ave,False,B2021-02225 B2024-01841 B2024-03280,,5442483.0,2024-11-25,4,0.46,0,BP record on file — plans attach to this permit; harvest its plan set
34,45,91,2009 ADDISON St,False,B2019-02956 B2023-03256,,161000.0,2024-05-31,2,0.4,0,BP record on file — plans attach to this permit; harvest its plan set
