Name,blocks,parcels,existing_units,acres,headroom_mh_byright,headroom_mh_bonus,headroom_corridor_est,headroom_total,units_per_block,mh_headroom_per_block
South Berkeley,207,4161,7905,698.1881008578872,22181,35329,13274,35455,38.2,107.2
Central Berkeley,178,3160,8822,604.5443041809458,15234,24214,26283,41517,49.6,85.6
Elmwood District,93,2321,4804,376.7677527575237,12755,20259,8293,21048,51.7,137.2
North Berkeley,91,1878,3752,303.0181632371223,11066,17594,5155,16221,41.2,121.6
Westbrae,68,1453,1798,208.74721310201727,8625,13681,1666,10291,26.4,126.8
Northbrae,57,1262,1451,230.28219999149925,8092,12780,1157,9249,25.5,142.0
Le Conte,62,1139,2617,182.67759535723133,5908,9412,4809,10717,42.2,95.3
Southwest Berkeley,116,1518,2300,512.0606672699928,5057,8057,50949,56006,19.8,43.6
Northwest Berkeley,89,1122,1509,235.22603735851283,4460,7084,8744,13204,17.0,50.1
Thousand Oaks,65,1458,1530,252.21873312586538,3222,5074,753,3975,23.5,49.6
Upper North Berkeley,34,791,1506,120.25259836408867,2843,4527,1671,4553,44.3,83.6
Lorin,25,474,889,73.9299764488724,1984,3168,2890,4874,35.6,79.4
Live Oak,44,995,1353,185.1123246808273,1710,2718,472,2243,30.8,38.9
Claremont,32,740,754,195.665701312527,753,1185,400,1153,23.6,23.5
Northside,38,718,2140,119.78556919311573,490,774,4003,4622,56.3,12.9
4th St.,23,155,128,99.4174139149217,486,766,5563,6049,5.6,21.1
University of California Berkeley,17,31,157,423.36515585693144,0,0,53378,53378,9.2,0.0
Terrace View,19,764,699,171.32606834339268,0,0,0,0,36.8,0.0
Cragmont,24,519,544,98.27603415792485,0,0,0,0,22.7,0.0
Southside,42,331,3070,122.92059516778966,0,0,10230,10230,73.1,0.0
Berkeley Marina,9,3,0,75.48748166825993,0,0,0,0,0.0,0.0
Gilman,22,139,13,90.26809006071844,0,0,5418,5418,0.6,0.0
Berekley Hills,145,3624,3669,805.619636504552,0,0,0,0,25.3,0.0
Panoramic Hill,16,260,813,109.50820927251486,0,0,820,840,50.8,0.0
