project_id,address,units,stories,height_m,footprint_sf,sf_per_unit,height_source,footprint_source,status
137,2000 University Ave,82.0,,,6257.0,,,"assessor 57-2025-13-1 Imps=$23,576,088",partial
91,2009 ADDISON St,45.0,,,9708.0,,,"assessor 57-2025-23 Imps=$20,852,579",partial
45,2200 FIFTH St,8.0,,,21462.0,,,"assessor 56-1958-3-1 Imps=$3,426",partial
46,1745 CEDAR St,6.0,,,4588.0,,,"assessor 59-2275-16 Imps=$106,120",partial
47,1850 BERRYMAN St,6.0,,,5019.0,,,assessor 60-2447-36,partial
49,1618 SIXTH St,4.0,,,6464.0,,,"assessor 57-2117-4-2 Imps=$865,936",partial
50,2420 ASHBY Ave,4.0,,,5752.0,,,"assessor 52-1573-78-2 Imps=$481,676",partial
51,2942 COLLEGE Ave,4.0,,,6030.0,,,"assessor 52-1568-9 Imps=$241,698",partial
53,2641 COLLEGE Ave,3.0,,,5194.0,,,"assessor 55-1848-18 Imps=$1,499,400",partial
54,2205 BLAKE St,3.0,,,13288.0,,,"assessor 55-1830-14 Imps=$991,900",partial
55,2221 FIFTH St,3.0,,,5640.0,,,assessor 56-1963-15-8,partial
56,1650 FIFTH St,3.0,,,5274.0,,,"assessor 57-2116-22 Imps=$617,610",partial
57,3101 SACRAMENTO St,3.0,,,4452.0,,,"assessor 52-1542-17 Imps=$99,032",partial
59,1514 WALNUT St,3.0,,,4482.0,,,"assessor 59-2260-5 Imps=$1,901,670",partial
60,1464 SIXTH St,3.0,,,6510.0,,,"assessor 59-2326-11 Imps=$142,796",partial
61,2812 EIGHTH St,3.0,,,7837.0,,,"assessor 53-1658-5-3 Imps=$397,950",partial
62,2201 BLAKE St,3.0,,,13288.0,,,"assessor 55-1830-14 Imps=$991,900",partial
129,1614 Sixth St,3.0,,,6821.0,,,"assessor 57-2117-4-1 Imps=$764,694",partial
64,1515 DERBY St,2.0,,,6656.0,,,"assessor 54-1802-14 Imps=$954,100",partial
65,1922 FRANCISCO St,2.0,,,6051.0,,,"assessor 58-2169-29 Imps=$668,144",partial
67,1419 GRANT St,2.0,,,5425.0,,,"assessor 59-2273-30 Imps=$1,249,500",partial
68,1236 DWIGHT Way,2.0,,,4000.0,,,"assessor 54-1782-29 Imps=$446,250",partial
69,2808 NINTH St,2.0,,,4606.0,,,"assessor 53-1659-9 Imps=$535,500",partial
70,3001 BENVENUE Ave,1.0,,,3405.0,,,"assessor 52-1562-1 Imps=$1,444,572",partial
71,40 HILL Rd,1.0,,,8233.0,,,"assessor 63-3161-2 Imps=$340,717",partial
72,5 W PARNASSUS Ct,1.0,,,7510.0,,,"assessor 58-2232-22 Imps=$1,132,213",partial
73,0 LE ROY Ave,1.0,,,5680.0,,,assessor 58-2244-25-1,partial
74,2328 GRANT St,1.0,,,5027.0,,,"assessor 55-1905-12 Imps=$22,206",partial
75,1939 MARIN Ave,1.0,,,8360.0,,,"assessor 61-2574-13 Imps=$1,004,694",partial
76,1731 ADDISON St,1.0,,,6967.0,,,"assessor 56-2011-8 Imps=$717,418",partial
77,1420 FIFTH St,1.0,,,5708.0,,,"assessor 59-2338-10 Imps=$1,212,310",partial
78,1139 KEELER Ave,1.0,,,5106.0,,,assessor 63-2984-53,partial
79,1111 ALLSTON Way,1.0,,,4601.0,,,"assessor 56-1983-43 Imps=$241,743",partial
80,659 GRIZZLY PEAK Blvd,1.0,,,5779.0,,,"assessor 63-2965-56-1 Imps=$614,040",partial
92,3036 REGENT St,1.0,,,3251.0,,,assessor 52-1574-46-2,partial
112,1621 SACRAMENTO St,1.0,,,3441.0,,,"assessor 58-2154-19 Imps=$716,820",partial
83,1136 KEITH Ave,1.0,,,6201.0,,,"assessor 63-2988-38 Imps=$2,940,000",partial
94,2145 GRANT St,1.0,,,7109.0,,,"assessor 57-2015-22 Imps=$1,820,000",partial
81,1522 JOSEPHINE St,0.0,,,5345.0,,,"assessor 59-2272-9 Imps=$1,144,440",partial
82,3035 COLBY St,0.0,,,1468.0,,,"assessor 52-1574-52 Imps=$451,010",partial
85,1730 PARKER St,0.0,,,5777.0,,,"assessor 54-1809-29 Imps=$48,265",partial
87,1109 COWPER St,0.0,,,5808.0,,,"assessor 56-1982-16 Imps=$1,545,684",partial
88,705 ARLINGTON Ave,0.0,,,5836.0,,,"assessor 62-2916-69 Imps=$912,331",partial
89,2027 SEVENTH St,0.0,,,18247.0,,,"assessor 56-1967-13-1 Imps=$1,964,301",partial
90,576 SAN LUIS Rd,0.0,,,4960.0,,,"assessor 62-2916-28 Imps=$1,055,318",partial
93,1312 ADDISON St,0.0,,,3779.0,,,"assessor 56-1993-1 Imps=$707,915",partial
95,2903 ADELINE St,0.0,,,4432.0,,,"assessor 53-1591-1 Imps=$114,862",partial
97,1507 JOSEPHINE St,0.0,,,3805.0,,,"assessor 59-2271-33 Imps=$708,855",partial
98,1338 SEVENTH St,0.0,,,14592.0,,,"assessor 59-2349-11 Imps=$397,343",partial
99,2238 SEVENTH St,0.0,,,6150.0,,,"assessor 56-1964-12 Imps=$459,000",partial
100,703 SANTA BARBARA Rd,0.0,,,6858.0,,,"assessor 62-2914-39 Imps=$374,850",partial
101,385 VERMONT Ave,0.0,,,4080.0,,,"assessor 62-2949-28 Imps=$41,004",partial
102,1246 ROSE St,0.0,,,8167.0,,,"assessor 59-2292-2-1 Imps=$175,236",partial
103,1512 CHANNING Way,0.0,,,2268.0,,,"assessor 55-1914-2 Imps=$683,792",partial
104,1475 CATHERINE Dr,0.0,,,3910.0,,,"assessor 59-2286-69 Imps=$1,092,700",partial
105,1187 SHATTUCK Ave,0.0,,,4928.0,,,"assessor 61-2561-21 Imps=$1,052,523",partial
106,2016 DELAWARE St A,0.0,,,5370.0,,,assessor 57-2050-35,partial
107,1123 BLAKE St,0.0,,,5190.0,,,"assessor 54-1781-9 Imps=$595,152",partial
108,830 BANCROFT Way,0.0,,,15103.0,,,"assessor 56-1941-22-2 Imps=$728,280",partial
110,2143 BLAKE St,0.0,,,3237.0,,,"assessor 55-1823-22 Imps=$738,076",partial
111,411 VASSAR Ave,0.0,,,5134.0,,,"assessor 62-2946-26 Imps=$976,500",partial
132,1627 Jaynes St,0.0,,,4656.0,,,"assessor 59-2279-16 Imps=$947,180",partial
84,2705 BENVENUE Ave,0.0,,,4805.0,,,"assessor 54-1709-28 Imps=$420,334",partial
135,2150 Kittredge St,169.0,7.0,24.5,32595.0,1350.0,BP B2021-00008 desc,"assessor 57-2029-17 Imps=$61,451,226",resolved
136,1951 Shattuck Ave,163.0,12.0,42.0,17152.0,1263.0,BP B2021-04893 desc,"assessor 57-2046-1 Imps=$71,848,800",resolved
96,2099 M L KING JR Way,72.0,7.0,24.5,12384.0,1204.0,BP B2021-03950 desc,"assessor 57-2024-13 Imps=$32,252,400",resolved
63,1716 SEVENTH St,2.0,2.0,7.0,4653.0,4653.0,BP B2022-01332 desc,"assessor 58-2119-9 Imps=$1,040,000",resolved
66,2204 DWIGHT Way,2.0,3.0,10.5,5718.0,8577.0,1.E stated,"assessor 55-1830-16 Imps=$664,092",resolved
130,1048 Keith St,0.0,1.0,3.5,8046.0,,BP B2024-01374 desc,"assessor 61-2555-31-1 Imps=$602,370",resolved
163,0 PARKER St,1.0,,,,,,,unresolved
