project_id,address,status,units,db_stories,sheet_page,footprint_sf,lot_area_sf,lot_coverage_pct,height_ft,stories,gross_floor_sf,dwelling_units,apn,parcel_sf,lot_vs_parcel,derived_coverage_pct,verdict,checks,low_confidence,note,doc_title,evidence
1,1750 SACRAMENTO St,Entitled,739,,,,,,,,,,,,,,,,,zoning sheet not located,,
2,2276 SHATTUCK Ave,Entitled,336,18.0,1,848.0,10948.0,100.0,,,32350.0,,57-2028-4,8936,1.225,7.7,SUSPECT,lot/parcel=1.23 MISMATCH; derived_cov=8% vs stated 100% MISMATCH,"footprint_sf,gross_floor_sf,lot_area_sf,lot_coverage_pct",,2024-06-05_2. 2276 Shattuck Ave_Plan Set,"footprint_sf: ~ | BUILDING FOOTPRINT 10,2308F = 848 SF BBS   [3 readings: [848.0, 9873.0, 10230.0]]   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || gross_floor_sf: coeay coaccwine tel ures Re eer Ole hell een 47 “pa ae GROSS FLOOR AREA) 32,350 SF   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || lot_area_sf: LOCATION MAP LOT AREA) 10,948 SF .   [2 readings: [10048.0, 10948.0]]   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || lot_coverage_pct: pS CLOTCOVERAGE, 93% 100%   [LOW-CONFIDENCE: truncated row, may be the EXISTING column]"
3,2700 SHATTUCK Ave,In Review,359,15.0,4,1740.0,,,,,,,54-1723-1,46163,,,UNVERIFIED,,footprint_sf,,2025-01-10_RESUB_PCKT_8 - Landscape Drawings_2700 Shattuck,"footprint_sf: 4. ALL SELECTED COMPONENTS SHALL BE PERMANENT, COMMERCIAL GRADE, SELECTED FOR 4% OF THE BUILDING FOOTPRINT (43   [LOW-CONFIDENCE: truncated row, may be the EXISTING column]"
4,1914 FIFTH St,In Review,257,15.0,2,,,,,,,,57-2100-7-5,30387,,,UNVERIFIED,,,,2023-05-23_Spengers Zoning Drawings,
5,2425 DURANT Ave,Entitled,117,20.0,1,,,,,,,,55-1878-7-1,9376,,,UNVERIFIED,,,,2024-11-15 2+3. 2425 Durant Entitlement Plan Set,
6,2029 UNIVERSITY Ave,Entitled,240,23.0,2,,12385.0,,,,,,57-2053-8-1,11586,1.069,,PASS(flagged fields),lot/parcel=1.07,lot_area_sf,,2024-12-19_6. 2029 University Ave_Multifamily Plans,"lot_area_sf: fl I fl I fl fl fl fl fl LOT AREA 12,385 SF   [LOW-CONFIDENCE: truncated row, may be the EXISTING column]"
7,2601 SAN PABLO Ave,In Review,223,8.0,2,18706.0,,,20.0,,,2.0,54-1785-17,3669,,,SUSPECT,footprint EXCEEDS parcel,dwelling_units,,2023-03-11_RESUB_2601 SAN PABLO - ZONING RESUBMISSION_2601 San Pablo,"dwelling_units: octiomes 2 ee NUMBER OF DWELLING UNITS N/   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || footprint_sf: Recycling Recycling BUILDING FOOTPRINT 28,714 28,714 18,706 COMPLIES || height_ft: acc] ic) 20% [20% BUILDING HEIGHT COMPLIES W/WAIVER"
8,2920 SHATTUCK Ave,In Review,242,10.0,2,10232.0,19586.0,52.0,36.0,11.0,131583.0,,53-1590-5-1,19513,1.004,52.2,PASS(flagged fields),lot/parcel=1.00; derived_cov=52% vs stated 52%,"height_ft,lot_area_sf",,2025-10-16_RESUB_Revised Plans_2920 Shattuck,"footprint_sf: BUILDING FOOTPRINT 13,648 BMC 23.204.100.D.2 10,232 COMPLIES/WAIVER   [2 readings: [10232.0, 13648.0]] || gross_floor_sf: | we WDAGANICS: as GROSS FLOOR AREA 78,344 78,344 131,583 COMPLIES/WAIVER   [2 readings: [78344.0, 131583.0]] || height_ft: i BUILDING HEIGHT 36' BMC :   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || lot_area_sf: RECYCLE RECYCLE RECYCLE LOTAREA 19,586   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || lot_coverage_pct: LOT COVERAGE 45% BMC 23.204.100.D.2 52% COMPLIES/WAIVER || stories: BUILDING STORIES 3 BMC 23.204.100.D.2 11 COMPLIES/WAIVER   [2 readings: [3.0, 11.0]]"
9,1899 OXFORD St,Entitled,212,7.0,2,16345.0,22304.0,,,3.0,,,58-2181-19-5,17606,1.267,73.3,SUSPECT,lot/parcel=1.27 MISMATCH,lot_area_sf,,2024-06-18_Plan Set_ 1899 OXFORD _ZP2024-0075,"footprint_sf: xp.4 A dT BUILDING FOOTPRINT 8,922 8,922 16,345 COMPLIES W/WAIVER 1899 || lot_area_sf: | 7 | LOT AREA 22,304 22,304 22304 | |   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || stories: goer | ie . | BUILDING STORIES 3 COMPLIES WAIVER]"
10,3000 SHATTUCK Ave,Entitled,166,10.0,2,13561.0,13561.0,,113.83,,,,53-1592-1,11118,1.22,100.0,SUSPECT,lot/parcel=1.22 MISMATCH; footprint EXCEEDS parcel,"footprint_sf,height_ft,lot_area_sf",,2022-07-08_RESUB_2022.07.08 Plans_3000 Shattuck,"footprint_sf: BEE EEE EEE EEE EEE EEE BUILDING FOOTPRINT 8,502 13,561 13,561)   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || height_ft: To CECEEEE EEE EEE EEE EHF BUILDING HEIGHT 113'-10"" ** 113'-10"" ** ne   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || lot_area_sf: | EEHEEEEEEEEEEEEEEEEEEEEH = [LOT AREA 13,561 13,561 13,561)   [LOW-CONFIDENCE: truncated row, may be the EXISTING column]"
11,1581 UNIVERSITY Ave,In Review,158,7.0,2,,,,,,,,57-2071-6-1,6477,,,UNVERIFIED,,,,2024-06-14 Plans 1581,
15,2109 VIRGINIA St,Entitled,110,8.0,2,19155.0,19788.0,,,8.0,,,58-2178-18,22712,0.871,96.8,SUSPECT,lot/parcel=0.87 MISMATCH,"footprint_sf,lot_area_sf",,2025-07-09 planset 2109,"footprint_sf: BUILDINGFOOTPRINT CTS | 95 | 19,155 | SC (BUILDING FOOTPRI   [2 readings: [9155.0, 19155.0]]   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || lot_area_sf: LOTAREA tt Citi‘“‘;*sCSC*sdYY:CitASS 8B] tg,798_— | 19,788 | S| |LOTAREA   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || stories: | 3) LE 8 | 8 COMPLIESW/WAIVER]| [BUILDINGSTORIES | 8S 8 COMPLIES W/WAIVER] [BUILDING STORIES   [2 readings: [3.0, 8.0]]"
17,2109 MILVIA St,In Review,105,,,,,,,,,,,,,,,,,zoning sheet not located,,
26,2298 DURANT Ave,In Review,65,,,,,,,,,,,,,,,,,zoning sheet not located,,
34,2680 BANCROFT Way,Entitled,79,8.0,2,5261.0,10140.0,45.0,,,,,55-1871-1-3,16576,0.612,51.9,SUSPECT,lot/parcel=0.61 MISMATCH; derived_cov=52% vs stated 45%,,,2660-2680 Bancroft Plan Set for ZAB Comments 03.07.25,"footprint_sf: BUILDINGFOOTPRINT 5,261SF = NA NOCHANGE || lot_area_sf: LOTAREA 10,140SF | = | NA | NOCHANGE || lot_coverage_pct: LOT COVERAGE, 56.50% 45% N/A 56.50%  |NON-CONFORMING STRUCTURES   [2 readings: [45.0, 56.5]]"
35,2190 SHATTUCK Ave,In Review,452,34.0,1,,,,,,,,57-2026-4-5,20116,,,UNVERIFIED,,,,2026-02-18_RESUB_UP MOD PLANS_2190 Shattuck,
36,2733 SAN PABLO Ave,In Review,152,8.0,2,,,,,4.0,,,54-1742-32,19115,,,UNVERIFIED,,stories,,2023-12-13 2733 ZONING RESUBMITTAL SET,"stories: i= i: a Bie 1 | 4 4 BUILDING STORIES   [LOW-CONFIDENCE: truncated row, may be the EXISTING column]"
38,2449 DWIGHT Way,Entitled,39,4.0,1,,,,,,,,55-1881-4,10864,,,UNVERIFIED,,,,2026-04-16 DRC Item 6b Att2 2449 Dwight Approved UP Drawings,
41,2147 SAN PABLO Ave,Entitled,15,4.0,1,,14571.0,,,,43713.0,,56-1983-42-1,14778,0.986,,PASS(flagged fields),lot/parcel=0.99,lot_area_sf,,2024-08-06 RESUB Plans 2147 San Pablo,"gross_floor_sf: GROSS FLOOR AREA 4,928 SF 66,049 SF 43,713 SF Waiver for additional FAR STREET LEVEL RETAIL. THE || lot_area_sf: LOT AREA 14,571 SF 14,571 SF a \\ Ma’   [LOW-CONFIDENCE: truncated row, may be the EXISTING column]"
116,2462 BANCROFT Way,Entitled,66,8.0,2,,6500.0,83.0,,,,,55-1877-16-1,16051,0.405,,SUSPECT,lot/parcel=0.40 MISMATCH,"lot_area_sf,lot_coverage_pct",,2024-05-30 ZAB Item 3 Att2 2462 Bancroft Project Plans,"lot_area_sf: LOT AREA: 6,500 SF || Sx oe ps   [LOW-CONFIDENCE: truncated row, may be the EXISTING column] || lot_coverage_pct: LOT COVERAGE: 83% la fs Re cereviaet Neat   [LOW-CONFIDENCE: truncated row, may be the EXISTING column]"
119,1974 SHATTUCK Ave,Entitled,599,28.0,2,,,,,,,,57-2053-2,5075,,,UNVERIFIED,,,,2025-01-21_RESUB-DRC Plan Set_1950-1998 Shattuck,
120,2274 SHATTUCK Ave,Entitled,299,17.0,2,16337.0,,,120.0,,,,57-2028-3,23422,,,UNVERIFIED,,,,2023-08-17_RESUB_2201 - 2023.08.09 - Zoning Resubmittal_2274 Shattuck,"footprint_sf: = ee ne ens BUILDING FOOTPRINT 22,112 22,112 16,337 COMPLIES || height_ft: 76-120) eC WAIVER BUILDING HEIGHT a ee 183-0"" waIveR_| www.TrachtenbergArch.com   [2 readings: [15.0, 120.0]]"
121,2100 MILVIA St,Entitled,205,,,,,,,,,,,,,,,,,zoning sheet not located,,
