project_id,address,units,status,db_stories,footprint_sf,footprint_source,lot_area_sf,coverage_pct,stories,gfa_sf,sf_per_unit,proposed_col,col_basis,footprint_reject,raw_units_row,raw_coverage_row,verdict,checks,doc_title
35,2190 SHATTUCK Ave,452,In Review,34.0,19767,lot x coverage,19967.0,99.0,34.0,,1487,1,units row: 452 matches v2 452,,0|452,95|99,PASS,fp/lot=99% vs 99%; 1487 sf/unit,Tabulation Form 1.E (2190 Shattuck)
13,2420 SHATTUCK Ave,132,In Review,17.0,6783.0,stated,,73.0,17.0,77733.0,874,1,FALLBACK second column (units row absent or no match),,,84|73,WEAK,874 sf/unit,Affordable Housing Tabulation Form 1.E (2420 Shattuck)
2,2276 SHATTUCK Ave,336,Entitled,18.0,9853,lot x coverage,10948.0,90.0,18.0,,528,1,"units row: 0 existing, proposed taken as 83",,0|83,93|90,PASS,fp/lot=90% vs 90%; 528 sf/unit,6-11-2024 4. 2276 Shattuck  Ave Tabulation Form
139,2538 DURANT Ave,83,Under Construction,8.0,,,,,,,,,,,,,NO-READ,,
147,2300 ELLSWORTH St,69,Under Construction,7.0,12640,lot x coverage,16000.0,79.0,7.0,,1282,1,units row: 69 matches v2 69,,12|69|69,66|79|100,PASS,fp/lot=79% vs 79%; 1282 sf/unit,3.1 Tabulation Form - 2300-2310 Ellsworth (03.13.24)
123,2037 DURANT Ave,74,Entitled,1.0,,,,,,,,,,,,,NO-READ,,
52,2437 WARRING St,4,In Review,2.0,4255,lot x coverage,5750.0,74.0,6.0,,6382,1,FALLBACK second column (units row absent or no match),,8|23,35|74|100,SUSPECT,fp/lot=74% vs 74%; 6382 sf/unit,2026-04-27 Tabulation Form 2437 Warring
26,2298 DURANT Ave,65,In Review,8.0,7438,lot x coverage,8471.0,87.8,7.0,,801,1,"units row: 0 existing, proposed taken as 45",,0|45|30,28|87.8|100,PASS,fp/lot=88% vs 88%; 801 sf/unit,2026-04-03 E. Tabulation Form
38,2449 DWIGHT Way,39,Entitled,4.0,8961,lot x coverage,10300.0,87.0,8.0,,1838,1,FALLBACK second column (units row absent or no match),,24|63,87|87,PASS,fp/lot=87% vs 87%; 1838 sf/unit,2025-12-10 RESUB 1.E 2449 Dwight Tabulation Form 2025 1204
8,2920 SHATTUCK Ave,242,In Review,10.0,10232.0,stated,,52.0,11.0,131583.0,465,1,FALLBACK second column (units row absent or no match),,,39|52|45,WEAK,465 sf/unit,2025-10-03_RESUB_Tabulation Form_2920 Shattuck
5,2425 DURANT Ave,117,Entitled,20.0,8288,lot x coverage,9750.0,85.0,20.0,,1417,1,FALLBACK second column (units row absent or no match),,19|169|150,46|85|100,PASS,fp/lot=85% vs 85%; 1417 sf/unit,2025-08-27  2425 Durant Tabulation Form
22,2955 SHATTUCK Ave,74,In Review,2.0,15611,lot x coverage,16968.0,92.0,8.0,,1688,1,units row: 74 matches v2 74,,0|74,51|92|35,PASS,fp/lot=92% vs 92%; 1688 sf/unit,2025-05-25 1E Tabulation Form Nov 2019
