project_id,address,units,status,db_stories,footprint_sf,footprint_parts,lot_area_sf,coverage_pct,gross_floor_sf,stories,apn,parcel_sf,verdict,checks,method,sheet_page,low_confidence,doc_title,note
1,1750 SACRAMENTO St,739,Entitled,8.0,,,,,,,58-2149-19-4,65533,UNVERIFIED,,ocr,6,,2024-04-05 RESUB 4. NBBART Revised Plans 1750 Sacramento,
133,2128 Oxford St,485,Entitled,26.0,,,,65.0,,,57-2031-1-1,12742,UNVERIFIED,,ocr,8,lot_coverage_pct,2024-09-12 ZAB Item 5 Att3 2128-2130 Oxford Project Plans,
3,2700 SHATTUCK Ave,359,In Review,15.0,,,,,,,54-1723-1,46163,UNVERIFIED,,ocr,3,,2026-01-20_RESUB_Zoning Resubmittal Drawings_2700 Shattuck,
2,2276 SHATTUCK Ave,336,Entitled,18.0,10308,,10948,100.0,137008,,57-2028-4,8936,SUSPECT,implied_lot/parcel=1.15; derived_cov=94%vs100%; gfa/fp=13.3storeys; footprint EXCEEDS parcel,ocr,1,"footprint_sf,gross_floor_sf,lot_area_sf,lot_coverage_pct",2025-10-17_2276 Shattuck Ave_Revised Plan Set,
120,2274 SHATTUCK Ave,299,Entitled,17.0,16337,,,,,,57-2028-3,23422,UNVERIFIED,,ocr,2,,2023-12-08_RESUB_2201-Zoning Resubmittal Drawings_2274 Shattuck,
4,1914 FIFTH St,257,In Review,15.0,,,,,,,57-2100-7-5,30387,UNVERIFIED,,ocr,2,height_ft,2023-05-23_Spengers Zoning Drawings,
6,2029 UNIVERSITY Ave,240,Entitled,23.0,,,12385,,,,57-2053-8-1,11586,UNVERIFIED,,ocr,2,lot_area_sf,2025-05-19_2. 2029 University Ave_Plans_05.19.2025 Zoning Resubmission_Mulifamily,
179,2352 Shattuck Ave,237,Completed,8.0,,,47045,,,,55-1895-18-5,47026,UNVERIFIED,,ocr,2,"height_ft,lot_area_sf",2019-08-26_RESUB_Plans_2352 Shattuck,
121,2100 MILVIA St,205,Entitled,15.0,,,,,,,,,,,,,,2025-05-14_Resub_Plans_2100 Milvia,no zoning sheet located
180,2065 Kittredge St,189,Entitled,8.0,27619,,33582,82.0,,,57-2027-9,71095,SUSPECT,implied_lot/parcel=0.47; derived_cov=82%vs82%,text,9,,2022-05-02 RESUB Plans 2065 Kittredge,
181,2015 Blake St,168,Entitled,7.0,,,,,,,55-1822-13-3,5986,UNVERIFIED,,ocr,2,,2023-06-22 RESUB-Revised Plan Set 2015 Blake,
11,1581 UNIVERSITY Ave,158,In Review,7.0,,,,,,,57-2071-6-1,6477,UNVERIFIED,,ocr,2,dwelling_units,2024-06-14 Plans 1581,
140,2136 SAN PABLO Ave,125,Entitled,6.0,,,,,,,56-1977-11-1,24251,UNVERIFIED,,ocr,5,,2021-08-03 RESUB Plans 2136 San Pablo,
122,2530 BANCROFT Way,110,Entitled,12.0,15665,,,100.0,,1.0,55-1877-16-1,16051,WEAK,implied_lot/parcel=0.98; only 1 check(s),ocr,2,"dwelling_units,footprint_sf,height_ft,lot_coverage_pct,stories",1 - Zoning Resubmittal Plans - 10.31.2023,
17,2109 MILVIA St,105,In Review,14.0,,,,,,,,,,,,,,2024-03-12 RESUB 2109A,no zoning sheet located
20,2036 BANCROFT Way,85,In Review,8.0,,"24,535 | 11,629",44291,83.0,179208,38.0,55-1894-17-4,37196,NEEDS-MANUAL-SPLIT,,text,1,,2025-10-02 RESUB Entitlement Plan Set 2036 Bancroft,"MULTI-APN: 2 footprint rows, NOT summed. One may be an existing building RETAINED ('NO CHANGE'). Needs manual split."
139,2538 DURANT Ave,83,Under Construction,8.0,,"10,465 | 10,935",25584,,,,55-1876-20,6275,NEEDS-MANUAL-SPLIT,,text,3,,2025-09-12 RESUB Plans ZP2025-0048 2538 Durant Ave,"MULTI-APN: 2 footprint rows, NOT summed. One may be an existing building RETAINED ('NO CHANGE'). Needs manual split."
34,2680 BANCROFT Way,79,Entitled,8.0,,"5,215 | 5,261",17290,73.0,32241,23.202,55-1871-1-3,16576,NEEDS-MANUAL-SPLIT,,text,2,,2660-2680 Bancroft Plan Set for ZAB Comments 03.07.25,"MULTI-APN: 2 footprint rows, NOT summed. One may be an existing building RETAINED ('NO CHANGE'). Needs manual split."
126,2427 San Pablo,78,Completed,7.0,9047,,10818,100.0,36280,4.0,56-1928-1,7881,SUSPECT,implied_lot/parcel=1.15; derived_cov=84%vs100%; gfa/fp=4.0storeys,text,3,,2024-07-11 ZAB Item 2 Att2 2427 San Pablo Project Plans,
22,2955 SHATTUCK Ave,74,In Review,2.0,,,16968,51.0,,,53-1589-18-1,12207,UNVERIFIED,,ocr,4,"lot_area_sf,lot_coverage_pct",2025-06-26 Plans 2955 Shattuck,
116,2462 BANCROFT Way,66,Entitled,8.0,,,6500,83.0,,,55-1877-16-1,16051,UNVERIFIED,,ocr,2,"lot_area_sf,lot_coverage_pct",2024-05-30 ZAB Item 3 Att2 2462 Bancroft Project Plans,
26,2298 DURANT Ave,65,In Review,8.0,,,,,,,,,,,,,,2025-09-11 Updated Plans 2298 Durant,no zoning sheet located
27,2441 LE CONTE Ave,65,Completed,7.0,,,12830,46.0,,,58-2193-6,13023,UNVERIFIED,,ocr,13,"lot_area_sf,lot_coverage_pct",2023-10-24 2 Project Plans,
143,2902 ADELINE St,54,Withdrawn,6.0,,,,,,,53-1598-6,7324,UNVERIFIED,,ocr,1,,2021-10-21 DRC ATT1 2902 Adeline Project Plans,
114,2727 HASTE St,45,In Review,6.0,,,,,,,55-1868-5,7242,UNVERIFIED,,ocr,15,,2026-02-09 RESUB 2502 - Plan Set 2727 Haste,
