project_id,address,stories_existing,stories_proposed,height_ft_existing,height_ft_proposed,gfa_proposed,footprint_proposed,source_doc,verdict,checks
35,2190 SHATTUCK Ave,2,34,38.0,360.8,,,2025-10-23_Attachment 1.E_Tabulation Form Oct 2025_2190 Shattuck.pdf,PASS,GFA/fp=n/a;10.6ft/st:ok
6,2029 UNIVERSITY Ave,2,23,21.0,256.0,,,2024-12-19_7. 2029 University Ave_Tabulation Form_Multifamily.pdf,PASS,GFA/fp=n/a;11.1ft/st:ok
5,2425 DURANT Ave,2,20,30.0,208.0,,,2024-11-15_1E. 2425 Durant_Tabulation Form.pdf,PASS,GFA/fp=n/a;10.4ft/st:ok
2,2276 SHATTUCK Ave,3,18,46.0,205.8,,,2024-06-05_1E. 2276 Shattuck Ave_Tabulation Form.pdf,PASS,GFA/fp=n/a;11.4ft/st:ok
124,2442 HASTE St,3,8,35.0,85.5,,,1E_Tabulation_Form.pdf,PASS,GFA/fp=n/a;10.7ft/st:ok
180,2065 Kittredge St,3,8,25.0,87.0,,,2021-12-15_RESUB_1E - Tabulation Form - RESUBMISSION_2065 Kittredge.pdf,PASS,GFA/fp=n/a;10.9ft/st:ok
22,2955 SHATTUCK Ave,2,8,36.0,85.0,,,2024-06-11_1E_Tabulation_Form_Nov 2019,PASS,GFA/fp=n/a;10.6ft/st:ok
38,2449 DWIGHT Way,4,8,45.0,84.4,,,1.E_2449 Dwight_Tabulation_Form_2025 0314.pdf,PASS,GFA/fp=n/a;10.6ft/st:ok
9,1899 OXFORD St,4,8,42.0,78.8,,,2024-06-18_Tabulation_Form_1899 Oxford_ZP2024-0075.pdf,PASS,GFA/fp=n/a;9.8ft/st:ok
147,2300 ELLSWORTH St,1,7,26.0,75.0,,,2023-07-18_3. Revised Tabulation Form - 2300-2310 Ellsworth.pdf,PASS,GFA/fp=n/a;10.7ft/st:ok
26,2298 DURANT Ave,3,7,40.0,85.0,,,2026-04-03_E. Tabulation Form,PASS,GFA/fp=n/a;12.1ft/st:ok
