project_id,address,units,v2_status,module,permit,record_status,record_type,description,applied,issued,finaled
94,2145 GRANT St,1,Entitled,Planning,ZP2024-0138,Approved,Zoning Permit,UPPH: 2145 GRANT STREET,,,
94,2145 GRANT St,1,Entitled,Planning,PLN2024-0033,Pending,Pre-Application,PRE-APP: 2145 Grant St,,,
94,2145 GRANT St,1,Entitled,Planning,ZP2017-0186,Approved,Zoning Permit,"Construct a two-story single-family dwelling on a lot that contains a one-story single-family dwelling located in the R-2 District. The project would add 5 new bedrooms, for a tota",,,
139,2538 DURANT Ave,83,Under Construction,Planning,ZCBL2026-0352,Approved,Zoning Certificate Business License,MATCHA TOKO,,,
139,2538 DURANT Ave,83,Under Construction,Planning,ZCBL2025-0457,Denied,Zoning Certificate Business License,THE VALIANT,,,
139,2538 DURANT Ave,83,Under Construction,Planning,ZP2025-0048,Approved,Zoning Permit,UPPH MOD: 2538 DURANT AVENUE,,,
139,2538 DURANT Ave,83,Under Construction,Planning,DRCF2023-0003,Approved,Design Review Committee Final,2538 Durant Ave,,,
139,2538 DURANT Ave,83,Under Construction,Planning,ZP2022-0097,Approved,Zoning Permit,2538 Durant,,,
139,2538 DURANT Ave,83,Under Construction,Planning,DRCP2022-0007,Approved,Design Review Committee Preliminary,2538 Durant,,,
139,2538 DURANT Ave,83,Under Construction,Planning,PLN2022-0065,Closed,Pre-Application,2538 Durant Ave,,,
139,2538 DURANT Ave,83,Under Construction,Planning,PLN2022-0018,Closed,Zoning Research Letter,ZRL-2538 Durant Ave.,,,
146,2800 TELEGRAPH Ave,18,Permitted,Planning,DRCF2026-0003,Application Complete,Design Review Committee Final,DRCF: 2800 TELEGRAPH AVENUE,,,
146,2800 TELEGRAPH Ave,18,Permitted,Planning,PLN2023-0008,Closed,Pre-Application,SB 330 Preliminary Application: 2800 Telegraph,,,
146,2800 TELEGRAPH Ave,18,Permitted,Planning,ZP2022-0107,Approved,Zoning Permit,2800 Telegraph Avenue,,,
146,2800 TELEGRAPH Ave,18,Permitted,Planning,DRCP2022-0009,Approved,Design Review Committee Preliminary,2800 Telegraph Avenue,,,
146,2800 TELEGRAPH Ave,18,Permitted,Planning,PLN2022-0060,Closed,Pre-Application,SB 330 Preliminary Application: 2800 Telegraph,,,
146,2800 TELEGRAPH Ave,18,Permitted,Planning,ZCBP2009-0524,Approved,Zoning Certificate Building Permit,Bath remodel.,,,
160,2344 FULTON St,18,Pre-Application,Planning,ZP2026-0068,Under Review,Zoning Permit,UP: 2344 FULTON ST.,,,
160,2344 FULTON St,18,Pre-Application,Planning,PLN2025-0019,Closed,Pre-Application,PREAPP: 2344 FULTON STREET,,,
