project_id,address,units,status,storeys,height_m,feet_stated,basis,all_figures,snippet
1,1750 SACRAMENTO St,739,Entitled,8,28.0,,construction phrase,8(build), the North Berkeley BART Station. Buildings range in height from 3 to 8 stories and consist of 739 
3,2700 SHATTUCK Ave,359,In Review,8,28.0,,construction phrase,8(build), project to demolish an existing commercial structure and construct a eight-story mixed-use housing d
4,1914 FIFTH St,257,In Review,7,24.5,,construction phrase,7(build),t and portions of an existing commercial building and construct a new seven-story mixed-use building 
5,2425 DURANT Ave,117,Entitled,20,70.0,,construction phrase,20(build),PROJECT - Demolition of all existing buildings on site to construct a 20-story residential buildin
6,2029 UNIVERSITY Ave,240,Entitled,23,80.5,,construction phrase,23(build); 2(demo),"The project is the construction of a new 23-story (256'-0""), 240-unit"
7,2601 SAN PABLO Ave,223,In Review,8,28.0,,construction phrase,8(build),sh existing development (includes vacant residential) to construct an 8-story mixed-use building 
8,2920 SHATTUCK Ave,242,In Review,10,35.0,,construction phrase,10(build),EAT WELDING SEAMS | Demolish two commercial buildings and construct a 10-story mixed-use residenti
9,1899 OXFORD St,212,Entitled,7,24.5,,construction phrase,2(build); 7(build),SB-330 Project -  Use Permit to demolish a two-story multifamily buildin
10,3000 SHATTUCK Ave,166,Entitled,10,35.0,,construction phrase,10(build),"Demolish the existing gas station, and construct a 10-story (114 feet) mixed-us"
11,1581 UNIVERSITY Ave,158,In Review,7,24.5,,construction phrase,7(build),"d mixed-use structures and surface parking to  construct a new 88'6"", 7-story, 158-unit mixed-use"
12,2115 KITTREDGE St,148,In Review,3,10.5,,construction phrase,3(build),Construction of a twenty-three-story building with a liv
13,2420 SHATTUCK Ave,132,In Review,17,59.5,,construction phrase,17(build), tar & paint | Demolish two non-residential buildings and construct a 17-story mixed-use residenti
14,2847 SHATTUCK Ave,132,In Review,9,31.5,,construction phrase,9(build),"landmarked mixed-use structure and surface parking to construct a new 9-story, 102'0"" in height, "
15,2109 VIRGINIA St,110,Entitled,8,28.0,,construction phrase,2(demo); 8(build),"story commercial structure and surface parking. Construction of a new 8-story(88'-4"" tall), 131-u"
16,2720 SAN PABLO Ave,113,In Review,8,28.0,,construction phrase,8(build),"mixed-use structure and surface parking for the construction of a new eight-story, 88'10"" in height, "
17,2109 MILVIA St,105,In Review,14,49.0,,construction phrase,14(build), | SB-330 Project: Removal of existing parking lot to construct a new 14-story mixed-use building 
18,2655 SHATTUCK Ave,97,Entitled,8,28.0,,construction phrase,1(build); 8(build),Demolish an existing 1-story commercial building
19,2450 SHATTUCK Ave,94,In Review,8,28.0,,construction phrase,8(build),-330 Mixed-Use Housing Development Project for the construction of an eight story building with 94 re
20,2036 BANCROFT Way,85,In Review,8,28.0,,construction phrase,8(build)," a partial landmarked commercial office building to construct an 85', 8-story, multi-family build"
21,2660 BANCROFT Way,78,In Review,8,28.0,,construction phrase,8(build),Construction of an 8-story residential develop
22,2955 SHATTUCK Ave,74,In Review,8,28.0,,construction phrase,2(demo); 1(demo); 8(build),"(1) existing 1-story commercial structure. The proposed project is an 8-story, 75-feet, 80,682-sq"
23,2326 DURANT Ave,70,In Review,6,21.0,,construction phrase,6(build),"Pre App requesting feedback on a project proposing a six-story, 70 unit developmen"
24,2330 DURANT Ave,68,In Review,6,21.0,,construction phrase,6(build),"g structures and new construction of a 100% affordable 65,585 sq. ft. 6-story housing development"
