project_id,address,lot_area_sf,coverage_pct,units,footprint_sf,footprint_source,geo_name,geo_footprint_sf,ratio,FLAG
7,2601 SAN PABLO Ave,,65,,18706.0,explicit,2601 San Pablo Ave · 223 units · In Re,3670,0.2,UNDERSIZED
8,2920 SHATTUCK Ave,,52,,10232.0,explicit,2920 Shattuck Ave · 242 units · In Rev,19519,1.91,OVERSIZED
9,1899 OXFORD St,22304.0,74,222.0,16505.0,lot*coverage,1899 Oxford St · 212 units · Entitled,15413,0.93,ok
10,3000 SHATTUCK Ave,,68,,9173.0,explicit,3000 Shattuck Ave · 166 units · Entitl,11123,1.21,OVERSIZED
15,2109 VIRGINIA St,,95,110.0,,lot*coverage,2109 Virginia St · 110 units · Entitle,22730,,
36,2733 SAN PABLO Ave,,65,,12337.0,explicit,2733 San Pablo Ave · 152 units · In Re,16652,1.35,OVERSIZED
119,1974 SHATTUCK Ave,,88,,24973.0,explicit,1974 Shattuck Ave · 599 units · Entitl,24114,0.97,ok
13,2420 SHATTUCK Ave,,73,,6783.0,explicit,2420 Shattuck Ave · 132 units · In Rev,4060,0.6,UNDERSIZED
35,2190 SHATTUCK Ave,19967.0,99,452.0,19767.0,lot*coverage,2190 Shattuck Ave · 452 units · In Rev,20126,1.02,ok
12,2115 KITTREDGE St,,,,12650.0,explicit,,,,parsed_2026-09-06
149,2198 SAN PABLO Ave,,100.0,,9800.0,explicit,,,,parsed_2026-09-06
157,2587 TELEGRAPH Ave,,,,16708.0,explicit,,,,parsed_2026-09-06
158,1367 UNIVERSITY Ave,,49.0,,2543.0,explicit,,,,parsed_2026-09-06
173,2000 DWIGHT Way,,78.0,,22177.0,explicit,,,,parsed_2026-09-06
