project_id,address,units,status,height_stories,has_tabulation,has_plan_set,is_uc,harvest_priority
170,1950 OXFORD St,772,Completed,14.0,0,0,1,uc-harvest-from-uc
171,2400 BOWDITCH St,750,Pre-Application,26.0,0,0,1,uc-harvest-from-uc
1,1750 SACRAMENTO St,739,Entitled,8.0,0,1,0,high
119,1974 SHATTUCK Ave,599,Entitled,28.0,1,1,0,done
177,2556 HASTE St,556,Under Construction,12.0,0,0,1,uc-harvest-from-uc
165,2200 BANCROFT Way,550,Under Construction,23.0,0,0,1,uc-harvest-from-uc
133,2128 Oxford St,485,Entitled,26.0,0,1,0,high
35,2190 SHATTUCK Ave,452,In Review,34.0,1,1,0,done
3,2700 SHATTUCK Ave,359,In Review,15.0,0,1,0,high
2,2276 SHATTUCK Ave,336,Entitled,18.0,0,1,0,high
120,2274 SHATTUCK Ave,299,Entitled,17.0,0,1,0,high
4,1914 FIFTH St,257,In Review,15.0,0,1,0,high
8,2920 SHATTUCK Ave,242,In Review,10.0,1,1,0,done
6,2029 UNIVERSITY Ave,240,Entitled,23.0,0,1,0,high
179,2352 Shattuck Ave,237,Completed,8.0,0,1,0,high
7,2601 SAN PABLO Ave,223,In Review,8.0,1,1,0,done
9,1899 OXFORD St,212,Entitled,7.0,1,1,0,done
152,1598 UNIVERSITY Ave,207,Completed,8.0,0,0,0,high
121,2100 MILVIA St,205,Entitled,15.0,0,1,0,high
178,2131 University Ave,205,Completed,6.0,0,0,0,high
180,2065 Kittredge St,189,Entitled,8.0,0,1,0,high
135,2150 Kittredge St,169,Completed,3.0,0,0,0,high
181,2015 Blake St,168,Entitled,7.0,0,1,0,high
10,3000 SHATTUCK Ave,166,Entitled,10.0,1,1,0,done
136,1951 Shattuck Ave,163,Completed,12.0,0,0,0,high
11,1581 UNIVERSITY Ave,158,In Review,7.0,0,1,0,high
36,2733 SAN PABLO Ave,152,In Review,8.0,1,1,0,done
12,2115 KITTREDGE St,148,In Review,10.0,0,0,0,high
150,3030 TELEGRAPH Ave,144,Completed,5.0,0,0,0,high
