id,address,net_units,status,developer,app_complete_date,entitled_date,bp_issued_date,accela_status_date
1,1750 SACRAMENTO St,739,Under Review,,,2026-03-03,,2026-03-03
119,1974 SHATTUCK Ave,599,Entitled,NX Ventures,2024-04-11,2025-06-03,,2025-06-03
133,2128 Oxford St,485,Approved,,2023-03-17,2024-10-04,,2024-10-04
2,2276 SHATTUCK Ave,336,In Review,,2025-08-07,2025-12-04,,2025-12-23
120,2274 SHATTUCK Ave,299,Entitled,Panoramic Interests,2024-01-04,2025-04-22,,2025-04-22
5,2425 DURANT Ave,250,Pending Final Action,Collabhome,2025-03-13,2025-10-09,,2025-12-26
6,2029 UNIVERSITY Ave,240,Pending Final Action,,2025-06-03,2025-11-13,,2025-11-17
9,1899 OXFORD St,212,Pending Final Action,,2024-10-31,2026-02-11,,2026-02-11
121,2100 MILVIA St,205,Entitled,4Terra Investments,2024-05-17,2025-07-01,,2025-07-01
10,3000 SHATTUCK Ave,166,In Review,NX Ventures,2022-08-03,2025-03-11,,2025-03-11
15,2109 VIRGINIA St,131,Approved,,2024-07-03,2026-02-26,,2026-02-26
140,2136 SAN PABLO Ave,125,Approved,,,2024-04-01,,
122,2530 BANCROFT Way,110,Approved,,2024-03-12,2024-12-27,,2024-12-27
18,2655 SHATTUCK Ave,97,Pending Final Action,,2024-08-19,2025-08-14,,2025-08-14
34,2680 BANCROFT Way,79,Entitled,,2024-04-30,2025-06-13,,2025-06-13
126,2427 San Pablo,78,Approved,,2024-02-06,2024-09-16,,2024-09-16
123,2037 DURANT Ave,74,Approved,,2024-03-29,2024-06-19,,2024-06-19
113,2138 KITTREDGE St,73,Under Review,,2024-09-05,2025-10-20,,2025-10-20
156,2550 SHATTUCK Ave,72,Entitled,,,2025-01-21,,
116,2462 BANCROFT Way,66,Approved,,2024-02-15,2024-07-01,,2024-07-01
118,2138 KITTREDGE St,66,Entitled,,2024-09-05,2025-10-20,,2025-10-20
28,2372 ELLSWORTH St,63,Entitled,,,2025-11-18,,
29,2138 KITTREDGE St,63,Under Review,,2024-09-05,2025-10-20,,2025-10-20
134,2480 Bancroft Way,28,Completed,,2023-09-12,2023-10-02,,2023-10-02
41,2147 SAN PABLO Ave,15,Pending Final Action,,2024-08-28,2025-09-09,,2025-09-09
161,2555 COLLEGE Ave,12,Completed,Panoramic Interests,2022-07-21,2023-05-31,,2023-05-31
128,2833 Seventh St,3,Approved,,2024-02-26,2024-05-07,,2024-05-07
129,1614 Sixth St,3,Approved,,2024-02-22,2024-10-17,,2024-10-17
94,2145 GRANT St,0,Pending Final Action,,2024-10-24,2026-03-26,,2026-03-26
127,2820 San Pablo,0,Unknown,,2022-09-29,2024-12-06,,2024-12-06
130,1048 Keith St,0,Approved,,2024-02-29,2025-06-04,,2025-06-04
131,811 Cedar,0,Approved,,2024-12-19,2025-07-03,,2025-07-03
132,1627 Jaynes St,0,Approved,,2024-10-18,2025-05-16,,2025-05-16
