"beso_id","property_building_name","building_address","alternate_addresses","beso_property_type","floor_area","_2024_benchmark_status","_2024_energy_star_score","_2024_site_eui_kbtu_ft2_","_2024_source_eui_kbtu_ft2_","_2024_natural_gas_use_therms_","_2024_electricity_use_grid_purchase_kwh_","_2023_benchmark_status","_2023_energy_star_score","_2023_site_eui_kbtu_ft2_","_2023_source_eui_kbtu_ft2_","_2023_natural_gas_use_kbtu_","_2023_electricity_use_grid_purchase_kwh_","_2022_benchmark_status","_2022_energy_star_score","_2022_site_eui_kbtu_ft2","_2022_source_eui_kbtu_ft2","_2022_natural_gas_use_kbtu_","_2022_electricity_use_grid_purchase_kwh_","_2021_benchmark_status","_2021_energy_star_score","_2021_site_eui_kbtu_ft2","_2021_source_eui_kbtu_ft2","_2021_natural_gas_use_kbtu_","_2021_electricity_use_grid_purchase_kwh_","assessment_requirement","assessment_first_cycle_due_date","assessment_first_cycle_status","assessment_first_cycle_payment_status","assessment_second_cycle_due_date","assessment_second_cycle_status","assessment_second_cycle_payment_status","assessment_third_cycle_due_date","assessment_third_cycle_status","assessment_third_cycle_payment_status"
"0000","BUILDING NAME","1 BUILDING ADDRESS",,"Other","123456","2024 - Complied",,,,,,"2023 - Complied",,,,,,"2022 - Complied",,,,,,"2021 - Complied",,,,,,"Large Building","7/1/2030","Upcoming","Upcoming",,,,,,
"1020","Redwood Gardens Apartments","2951 DERBY ST","2951 DERBY ST","Multifamily (5+ Units)","125813","2024 - Complied","98","22.8","44.8","13595.48","440584.7","2023 - Complied","97","24.8","49.3","14130.73","478396.8","2022 - Complied","97","24.7","48.9","14197.45","472191.7","2021 - Did Not Report",,,,,,"Large Building","7/1/2018","Did Not Comply","Due","7/1/2023","Pending","Due",,,
"1030","LifeLong Over 60 Health Center; Mable Howard","3250 SACRAMENTO ST","1499 ALCATRAZ AVE; 3250 SACRAMENTO ST; 3260 SACRAMENTO ST; 1497 ALCATRAZ AVE","Multifamily (5+ Units)","45453","2024 - Complied",,"31.6","73.7","3865.21","308242.1","2023 - Complied",,"37.2","86","4726.25","358012.4","2022 - Complied",,"35.3","83.2","4093.21","351433.1","2021 - Did Not Report",,,,,,"Large Building","7/1/2018","Did Not Comply","Due","7/1/2023","Pending","Due",,,
"1040","Telegraph Medical","3120 TELEGRAPH AVE","3120 TELEGRAPH AVE","Mixed Use (Comm/MF)","25982","2024 - Complied","100","6","15.5","214.51","39741.3","2023 - Complied","100","6.5","16.7","227.19","42988.6","2022 - Complied","100","5.2","13.3","173.5","34382.7","2021 - Complied","100","3.6","8.8","186.93","21793.8","Large Building","7/1/2019","Complied","Paid","7/1/2024","Did Not Comply","Due",,,
"1050","Regent Street Medical Office Building and Care Center","2999 REGENT ST","2999 REGENT ST","Commercial","63000","2024 - Complied","54","83.1","165.6","24184.44","826266.9","2023 - Complied","39","98.8","188.5","31763.26","893664.5","2022 - Complied","8","145","263.1","51490.39","1168824.2","2021 - Did Not Report",,,,,,"Large Building","7/1/2018","Deferred","Deferred","7/1/2023","Did Not Comply","Due",,,
"1060","Telegraph Gardens","3001 TELEGRAPH AVE","3001 TELEGRAPH AVE","Multifamily (5+ Units)","42194","2024 - In Progress",,,,,,"2023 - Did Not Report",,,,,,"2022 - Did Not Report",,,,,,"2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Did Not Comply","Due",,,
"1070","Alta Bates Summit Medical Center - Ashby","2450 ASHBY AVE","3001 COLBY ST","Commercial","457073","2024 - Complied","24","259.4","430.2","773480.59","12079011","2023 - Complied","17","275.2","452.6","830770.89","12521558.2","2022 - Complied","14","282.8","465","853908.69","12861684.4","2021 - Complied","11","290.6","473.2","889365.65","12864542.4","Large Building","7/1/2018","Exempt","Exempt","7/1/2023","Complied","Paid","7/1/2028","Upcoming","Upcoming"
"1080","3000 Colby St","3000 COLBY ST","3000 COLBY ST; 3010 COLBY ST","Commercial","47252","2024 - Did Not Report",,,,,,"2023 - Did Not Report",,,,,,"2022 - Did Not Report","100",,,,,"2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Did Not Comply","Due",,,,,,
"1090","3000 Telegraph Ave","3000 TELEGRAPH AVE","3000 TELEGRAPH AVE","Commercial","24500","2024 - Complied",,"338.8","664.3","39817","1265970","2023 - Complied",,"339","678.2","37948","1322114.9","2022 - Complied","37","331.9","665","36985.01","1299007.2","2021 - Complied","37","334.6","658.2","39005","1259137.5","Large Building","7/1/2019","Complied","Paid","7/1/2024","Did Not Comply","Due",,,
"1120","William Byron Rumford Plaza","3012 SACRAMENTO ST","3012 SACRAMENTO ST; 3017 STANTON ST","Multifamily (5+ Units)","36500","2024 - Complied","84","46.2","71.9","12016.71","142487.4","2023 - Complied","77","51.2","77.7","13724.56","145919.3","2022 - Complied","77","50.3","78.1","13089.92","154632.4","2021 - Exempt",,,,,,"Large Building","7/1/2019","Complied","Paid","7/1/2024","Did Not Comply","Due",,,
"1130","Higby","3015 SAN PABLO AVE","3015 SAN PABLO AVE; 1200 ASHBY AVE","Mixed Use (Comm/MF)","82921","2024 - Complied","67","42.4","85.8","15613.57","572916.1","2023 - Complied","74","42.1","83.9","16033","552131.9","2022 - Insufficient Data",,,,,,"2021 - Did Not Report",,,,,,"Large Building","7/1/2018","Deferred","Deferred","7/1/2026","Upcoming","Upcoming",,,
"1150","URBAN ORE","900 MURRAY ST","900 MURRAY ST; 927 FOLGER AVE","Industrial","48997","2024 - Complied","100","4.6","8.7",,"32931.7","2023 - Did Not Report",,,,,,"2022 - Complied","100","4.8","9.5",,"37286.7","2021 - Complied","100","3.5","9.8",,"50224","Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Exempt","Exempt",,,
"1160","2503 Haste St","2503 HASTE ST","2509 Haste St","Mixed Use (Comm/MF)","92693","2024 - Complied",,"20.3","45.5","5998.43","375397","2023 - Insufficient Data",,,,,,"2022 - Complied",,"11.8","32.8","63.7","317742.9","2021 - Did Not Report",,,,,,"Large Building","7/1/2018","Deferred","Deferred","7/1/2023","Complied","Paid","7/1/2028","Upcoming","Upcoming"
"1180","Folger Murray Properties","1047 Folger Ave","1041 FOLGER AVE; 1043 FOLGER AVE; 1028 MURRAY ST; 1040 MURRAY ST; 1051 FOLGER AVE; 1053 FOLGER AVE; 1045 FOLGER AVE; 1027 FOLGER AVE; 1038 MURRAY ST; 1030 MURRAY ST; 1024 MURRAY ST; 1042 MURRAY ST; 1032 MURRAY ST; 1033 FOLGER AVE","Industrial","45103","2024 - Complied",,"2.7","5.9","443.15","23137","2023 - Complied",,"6","13.3","879.77","52950.7","2022 - Complied",,"8.4","19.9","928.45","83684.9","2021 - Complied",,"10.1","23.6","1211.91","97959.9","Large Building","7/1/2019","Complied","Paid","7/1/2026","Upcoming","Upcoming",,,
"1250","2929 FIFTH St","2929 FIFTH ST","808 ANTHONY ST; 2929 FIFTH ST","Commercial","37840","2024 - Complied",,"19.8","50.5","1055.6","188538","2023 - Complied",,"25.4","62.8","1780.68","229050","2022 - Complied",,"24.8","61.8","1663","226415.2","2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Complied","Paid","7/1/2029","Upcoming","Upcoming"
"1260","825 POTTER ST","825 POTTER ST","795 POTTER ST; 825 POTTER ST; 834 POTTER ST; 822 ANTHONY ST;846 ANTHONY ST; 875 POTTER ST; 885 POTTER ST","Commercial","45125","2024 - Complied","72","22.7","63.6","0","300346.6","2023 - Complied","78","21.3","59.6","0","281595.5","2022 - Complied","86","18.3","51.2","0","241749.2","2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Complied","Paid","7/1/2029","Upcoming","Upcoming"
