permit_id,permit_number,project_id,project_address,project_stage,filed_date,issued_date,source_system,source_permit_id,scrape_file_match,capid_triplet
208,B2025-01864,27,2441 LE CONTE Ave,completed,,2025-05-07,cpra,,none,
146,B2024-03884,53,2641 COLLEGE Ave,completed,,2024-12-10,cpra,,none,
147,B2024-05471,53,2641 COLLEGE Ave,completed,,2025-06-25,cpra,,none,
148,B2025-02413,53,2641 COLLEGE Ave,completed,,2025-07-03,cpra,,none,
193,B2022-01278,63,1716 SEVENTH St,completed,,2023-06-28,cpra,,none,
194,B2022-01332,63,1716 SEVENTH St,completed,,2023-06-06,cpra,,none,
195,B2022-01386,63,1716 SEVENTH St,completed,,2023-06-06,cpra,,none,
196,B2023-02303,63,1716 SEVENTH St,completed,,2023-05-26,cpra,,none,
197,B2025-05132,63,1716 SEVENTH St,completed,,2025-11-17,cpra,,none,
198,B2025-05133,63,1716 SEVENTH St,completed,,2025-11-17,cpra,,none,
131,B2023-04430,64,1515 DERBY St,completed,,2024-07-24,cpra,,none,
132,B2025-02754,64,1515 DERBY St,completed,,2025-07-03,cpra,,none,
119,B2025-00605,70,3001 BENVENUE Ave,completed,,2025-02-18,cpra,,none,
236,B2025-00897,71,40 HILL Rd,completed,,2025-03-10,cpra,,none,
237,B2025-03189,71,40 HILL Rd,completed,,2025-08-25,cpra,,none,
175,B2023-00192,79,1111 ALLSTON Way,completed,,2024-03-20,cpra,,none,
176,B2025-01202,79,1111 ALLSTON Way,completed,,2025-03-25,cpra,,none,
177,B2025-03358,79,1111 ALLSTON Way,completed,,2025-08-12,cpra,,none,
230,B2022-03783,83,1136 KEITH Ave,completed,,2023-01-11,cpra,,none,
231,B2024-02569,83,1136 KEITH Ave,completed,,2024-09-25,cpra,,none,
232,B2024-02570,83,1136 KEITH Ave,completed,,2024-09-27,cpra,,none,
233,B2024-02712,83,1136 KEITH Ave,completed,,2024-08-07,cpra,,none,
234,B2024-03997,83,1136 KEITH Ave,completed,,2024-08-14,cpra,,none,
235,B2025-02220,83,1136 KEITH Ave,completed,,2025-07-23,cpra,,none,
130,B2023-00595,84,2705 BENVENUE Ave,completed,,2023-02-17,cpra,,none,
174,B2024-00736,87,1109 COWPER St,completed,,2024-04-05,cpra,,none,
225,B2023-05865,88,705 ARLINGTON Ave,completed,,2023-11-14,cpra,,none,
226,B2024-01528,88,705 ARLINGTON Ave,completed,,2025-03-04,cpra,,none,
227,B2025-04937,88,705 ARLINGTON Ave,completed,,2025-11-04,cpra,,none,
221,B2022-05525,90,576 SAN LUIS Rd,completed,,2023-02-16,cpra,,none,
222,B2025-00709,90,576 SAN LUIS Rd,completed,,2025-06-02,cpra,,none,
223,B2025-04320,90,576 SAN LUIS Rd,completed,,2025-10-27,cpra,,none,
224,B2025-04805,90,576 SAN LUIS Rd,completed,,2025-10-27,cpra,,none,
185,B2023-03256,91,2009 ADDISON St,completed,,2024-05-31,cpra,,none,
120,B2023-03308,92,3036 REGENT St,completed,,2023-06-28,cpra,,none,
121,B2023-03832,92,3036 REGENT St,completed,,2023-08-02,cpra,,none,
182,B2021-03950,96,2099 M L KING JR Way,completed,,2023-07-17,cpra,,none,
183,B2024-01659,96,2099 M L KING JR Way,completed,,2024-07-16,cpra,,none,
213,B2024-01323,102,1246 ROSE St,completed,,2024-05-03,cpra,,none,
220,B2023-02115,105,1187 SHATTUCK Ave,completed,,2023-07-07,cpra,,none,
228,B2024-05470,111,411 VASSAR Ave,completed,,2025-06-23,cpra,,none,
229,B2025-00685,111,411 VASSAR Ave,completed,,2025-03-13,cpra,,none,
173,B2023-04586,126,2427 San Pablo,completed,,2023-09-07,cpra,,none,
190,B2023-05397,129,1614 Sixth St,completed,,2023-12-19,cpra,,building/B_1614_SIXTH_St.txt,
191,B2024-04504,129,1614 Sixth St,completed,,2025-08-29,cpra,,building/B_1614_SIXTH_St.txt,
192,B2024-06099,129,1614 Sixth St,completed,,2025-08-29,cpra,,building/B_1614_SIXTH_St.txt,
154,B2022-05880,134,2480 Bancroft Way,completed,,2023-12-13,cpra,,building/B_2480_BANCROFT_Way.txt,
155,B2024-01572,134,2480 Bancroft Way,completed,,2024-08-07,cpra,,building/B_2480_BANCROFT_Way.txt,
156,B2024-02120,134,2480 Bancroft Way,completed,,2024-08-01,cpra,,building/B_2480_BANCROFT_Way.txt,
187,B2022-05181,135,2150 Kittredge St,completed,,2023-01-13,cpra,,none,
188,B2023-01578,135,2150 Kittredge St,completed,,2023-05-11,cpra,,none,
184,B2022-06060,137,2000 University Ave,completed,,2023-06-16,cpra,,none,
150,B2023-01880,139,2538 DURANT Ave,completed,,2024-08-08,cpra,,none,
151,B2023-02332,139,2538 DURANT Ave,completed,,2024-09-24,cpra,,none,
152,B2024-06011,139,2538 DURANT Ave,completed,,2025-05-09,cpra,,none,
153,B2025-00875,139,2538 DURANT Ave,completed,,2025-07-07,cpra,,none,
158,B2024-05944,147,2300 ELLSWORTH St,under_construction,,2025-09-04,cpra,,2300_ELLSWORTH_St.txt,
159,B2025-00388,147,2300 ELLSWORTH St,under_construction,,2025-08-11,cpra,,2300_ELLSWORTH_St.txt,
