permit_number,project_id,project_address,v2_source_system,url_discovery_outcome,url_discovery_capid,url_records_seen,url_related_count,in_cpra,cpra_row_count,cpra_apns,cpra_submittal_date,cpra_issuance_date,cpra_finaled_date,cpra_occ_type,cpra_work_type,cpra_units_added,cpra_address,cpra_description_first_50
B2025-01864,27,2441 LE CONTE Ave,cpra,not_found,,0,0,yes,1,058 219300600,2025-05-06,2025-05-07,2025-09-25,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2441 LE CONTE Ave,To address housing case H2025-00241 Items 6- Repai...
B2024-03884,53,2641 COLLEGE Ave,cpra,not_found,,0,0,yes,1,055 184801800,2024-08-07,2024-12-10,2025-07-08,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,2641 COLLEGE Ave,"Unit #A, First Floor. Add bathroom & laundry close..."
B2024-05471,53,2641 COLLEGE Ave,cpra,not_found,,0,0,yes,1,055 184801800,2024-11-13,2025-06-25,,"U Private Garages, Carports, Sheds, Agricultural, Tanks, Accessory",Demolition,0.0,2641 COLLEGE Ave,Demolish existing 384SF wood framed detach garage
B2025-02413,53,2641 COLLEGE Ave,cpra,not_found,,0,0,yes,1,055 184801800,2025-06-12,2025-07-03,2025-07-24,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,0.0,2641 COLLEGE Ave,Replace 760 square feet of deteriorated siding on ...
B2022-01278,63,1716 SEVENTH St,cpra,not_found,,0,0,yes,1,058 211900900,2022-03-23,2023-06-28,2023-07-06,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Demolition,,1716 SEVENTH St,"Demolish 801 SqFt Single Family Residence, detache..."
B2022-01332,63,1716 SEVENTH St,cpra,ok,DUB22-00000-00A0J,2,1,yes,2,058 211900900,2022-03-28,2023-06-06,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",New,1.0,1716 SEVENTH St,Construct new 2-story single family residence
B2022-01386,63,1716 SEVENTH St,cpra,not_found,,0,0,yes,1,058 211900900,2022-03-29,2023-06-06,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",New,,1716 SEVENTH St,Construct new two-story single family residence.
B2023-02303,63,1716 SEVENTH St,cpra,not_found,,0,0,yes,1,058 211900900,2023-05-04,2023-05-26,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,1716 SEVENTH St,Remove existing roof & install 2.016 KW PV solar t...
B2025-05132,63,1716 SEVENTH St,cpra,not_found,,0,0,yes,1,058 211900900,2025-11-10,2025-11-17,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,0.0,1716 SEVENTH St,Add 2.64 (DC) / 7.60 (AC) KW PV solar panels (6 mo...
B2025-05133,63,1716 SEVENTH St,cpra,not_found,,0,0,yes,1,058 211900900,2025-11-10,2025-11-17,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,1714 SEVENTH St,Install 3.08 KW PV solar panels (7 modules) on the...
