placemark_index,name_raw,name_address,name_qualifier,matched_project_id,action,skip_reason,style_source,geometry_type_id,geometry_type_code,structure_id,structure_label,project_geometries_id,vertex_count,height_meters,confidence_code
0,2400 Bowditch St · North · 750 units · Pre-Application,2400 Bowditch St,North,171,import,,footprint,4,building_footprint,1,North,180,5,85.3,high
1,2556 Haste St · 556 units · Under Construction,2556 Haste St,,177,import,,footprint,4,building_footprint,3,Main,181,5,40.2,high
2,2200 Bancroft Way · North · 550 units · Under Construction,2200 Bancroft Way,North,165,import,,footprint,4,building_footprint,5,North,182,5,79.5,high
3,1950 Oxford St · 300 units · Completed,1950 Oxford St,,170,import,,footprint,4,building_footprint,,,183,5,46.9,high
4,1750 Sacramento St · 739 units · In Review,1750 Sacramento St,,1,import,,parcel,1,apn_parcel,,,184,5,28.0,medium
5,1974 Shattuck Ave · 599 units · Entitled,1974 Shattuck Ave,,119,import,,footprint,4,building_footprint,,,185,7,98.00000000000001,high
6,2128 Oxford St · 485 units · Entitled,2128 Oxford St,,133,import,,synthetic,8,synthetic_polygon,,,186,5,91.0,low
7,2190 Shattuck Ave · 452 units · In Review,2190 Shattuck Ave,,35,import,,parcel,1,apn_parcel,,,187,5,119.0,medium
8,2700 Shattuck Ave · 359 units · In Review,2700 Shattuck Ave,,3,import,,parcel,1,apn_parcel,,,188,5,52.5,medium
9,2276 Shattuck Ave · 336 units · In Review,2276 Shattuck Ave,,2,import,,parcel,1,apn_parcel,,,189,5,63.0,medium
10,2274 Shattuck Ave · 299 units · Entitled,2274 Shattuck Ave,,120,import,,parcel,1,apn_parcel,,,190,9,59.5,medium
11,1914 Fifth St · 257 units · In Review,1914 Fifth St,,4,import,,synthetic,8,synthetic_polygon,,,191,5,52.5,low
12,2029 University Ave · 240 units · Entitled,2029 University Ave,,6,import,,parcel,1,apn_parcel,,,192,5,78.0,medium
13,2352 Shattuck Ave · 237 units · Completed,2352 Shattuck Ave,,179,import,,parcel,1,apn_parcel,,,193,7,28.0,medium
14,2601 San Pablo Ave · 223 units · In Review,2601 San Pablo Ave,,7,import,,parcel,1,apn_parcel,,,194,5,28.0,medium
15,2920 Shattuck Ave · 221 units · In Review,2920 Shattuck Ave,,8,import,,parcel,1,apn_parcel,,,195,5,35.0,medium
16,1899 Oxford St · 212 units · Decision Pending,1899 Oxford St,,9,import,,parcel,1,apn_parcel,,,196,5,23.8,medium
17,1598 University Ave · 207 units · Under Construction,1598 University Ave,,152,import,,parcel,1,apn_parcel,,,197,5,28.0,medium
18,2100 Milvia St · 205 units · Entitled,2100 Milvia St,,121,import,,parcel,1,apn_parcel,,,198,5,52.5,medium
19,2131 University Ave · 205 units · Completed,2131 University Ave,,178,import,,synthetic,8,synthetic_polygon,,,199,5,21.0,low
20,2065 Kittredge St · 189 units · Entitled,2065 Kittredge St,,180,import,,footprint,4,building_footprint,,,200,7,28.0,high
21,2150 Kittredge St · 169 units · Completed,2150 Kittredge St,,135,import,,parcel,1,apn_parcel,,,201,5,10.5,medium
22,2015 Blake St · 168 units · Entitled,2015 Blake St,,181,import,,parcel,1,apn_parcel,,,202,6,24.5,medium
23,3000 Shattuck Ave · 166 units · In Review,3000 Shattuck Ave,,10,import,,parcel,1,apn_parcel,,,203,5,34.7,medium
24,1951 Shattuck Ave · 163 units · Completed,1951 Shattuck Ave,,136,import,,parcel,1,apn_parcel,,,204,5,10.5,medium
25,1581 University Ave · 158 units · In Review,1581 University Ave,,11,import,,parcel,1,apn_parcel,,,205,5,48.2,medium
26,2115 Kittredge St · 148 units · Application Submitted,2115 Kittredge St,,12,import,,parcel,1,apn_parcel,,,206,6,35.0,medium
