name,address_normalized,latitude,longitude,coords_valid,url_count
North Berkeley BART station,,,,False,35
1110 University Ave,1110 UNIVERSITY AVE,37.8689155,-122.2913064,True,1
2001 Fourth St,2001 4TH ST,37.8673494,-122.2992662,True,0
1367 University Ave,1367 UNIVERSITY AVE,,,False,19
1498 University Ave,1498 UNIVERSITY AVE,,,False,7
1581 University Ave,1581 UNIVERSITY AVE,,,False,7
1598 University Ave,1598 UNIVERSITY AVE,,,False,37
1652 University Ave,1652 UNIVERSITY AVE,,,False,23
1698 University Ave,1698 UNIVERSITY AVE,,,False,13
1717 University Ave,1717 UNIVERSITY AVE,37.8717428,-122.2733746,True,13
1776 University Ave,1776 UNIVERSITY AVE,,,False,14
1812 University,1812 UNIVERSITY,,,False,3
1885 University Ave,1885 UNIVERSITY AVE,,,False,5
1974 University Ave,1974 UNIVERSITY AVE,37.8715977,-122.2709704,True,12
2000 University Ave,2000 UNIVERSITY AVE,,,False,17
2029 University,2029 UNIVERSITY,37.872174,-122.2697254,True,13
2067 University Ave,2067 UNIVERSITY AVE,,,False,9
2111 University Ave,2111 UNIVERSITY AVE,,,False,10
1601 Oxford St,1601 OXFORD ST,37.8785111,-122.2663856,True,5
2099 Martin Luther King,2099 MARTIN LUTHER KING,,,False,10
1935 Addison St,1935 ADDISON ST,,,False,6
2012 Berkeley Way,2012 BERKELEY WY,,,False,8
1950 Addison St,1950 ADDISON ST,,,False,9
2009 Addison St,2009 ADDISON ST,,,False,7
2100 Milvia St,2100 MILVIA ST,,,False,11
2109 Milvia St,2109 MILVIA ST,37.8706053,-122.2704118,True,14
2072 Addison,2072 ADDISON,,,False,7
2118 Milvia St,2118 MILVIA ST,37.8701463,-122.2708028,True,17
2037 Kala Bagai Wy,2037 KALA BAGAI WY,,,False,2
2023 Shattuck Ave,2023 SHATTUCK AVE,,,False,7
1130 Oxford St,1130 OXFORD ST,,,False,4
1773 Oxford St,1773 OXFORD ST,,,False,5
1899 Oxford St,1899 OXFORD ST,,,False,17
2128 Oxford St,2128 OXFORD ST,,,False,25
UC Berkeley Innovation Zone,,37.8719545,-122.2664545,True,34
2132 Center St,2132 CENTER ST,37.8703255,-122.2665631,True,11
130-134 Berkeley Square,,,,False,9
2109 Virginia St,2109 VIRGINIA ST,,,False,9
2065 Kittredge,2065 KITTREDGE,,,False,27
The Gateway,,37.8742113,-122.2637756,True,19
2028 Bancroft Way,2028 BANCROFT WY,,,False,6
2441 Le Conte Ave,2441 LE CONTE AVE,37.8769681,-122.2618572,True,4
Upper Hearst,,,,False,9
Bechtel Engineering Center,,,,False,15
Heathcock Hall,,37.8731576,-122.255904,True,8
2000 Dwight Way,2000 DWIGHT WY,,,False,5
2107 Dwight Way,2107 DWIGHT WY,,,False,8
2127 Dwight Way,2127 DWIGHT WY,37.8642795,-122.2665044,True,19
2201 Dwight Way,2201 DWIGHT WY,,,False,5
2015 Blake St,2015 BLAKE ST,,,False,15
2018 Blake St,2018 BLAKE ST,,,False,17
2035 Blake St,2035 BLAKE ST,,,False,4
2001 Center St,2001 CENTER ST,,,False,4
2155 Center St,2155 CENTER ST,,,False,12
1752 Shattuck Ave,1752 SHATTUCK AVE,,,False,26
1951 Shattuck Ave,1951 SHATTUCK AVE,,,False,16
1974 Shattuck Ave,1974 SHATTUCK AVE,,,False,15
2129 Shattuck,2129 SHATTUCK,,,False,10
