project_id,address_display,address_normalized,latitude,longitude,data_source,net_units,status,has_official_permit,has_media_coverage,news_urls,primary_news_source,gellerman_original_name,gellerman_match_score
1,1750 SACRAMENTO St,1750 SACRAMENTO ST,37.87431211415104,-122.2829585340012,official_permit,739.0,Under Review,True,False,,,,
2,2276 SHATTUCK Ave,2276 SHATTUCK AVE,37.86773770249066,-122.26824034145176,both,336.0,In Review,True,True,https://sfyimby.com/2021/03/construction-topped-out-for-phase-one-of-2352-shattuck-avenue-downtown-berkeley.html;https://www.berkeleyside.org/2019/05/24/zoning-board-gets-first-look-at-209-unit-project-planned-in-downtown-berkeley;https://www.berkeleyside.org/2019/10/25/downtown-berkeleys-logan-park-wins-zoning-board-approval-thursday-night,Berkeleyside,,88.0
3,2700 SHATTUCK Ave,2700 SHATTUCK AVE,37.85978024166641,-122.26782803899088,both,276.0,In Review,True,True,https://sfyimby.com/2023/08/ministerial-streamlining-approved-for-permanently-affordable-housing-in-south-berkeley.html;https://sfyimby.com/2022/12/permits-filed-for-mixed-use-at-3120-shattuck-avenue-in-berkeley.html;https://sfyimby.com/2023/04/renderings-revealed-for-3120-shattuck-avenue-in-berkeley.html;https://www.berkeleyside.org/2023/04/13/south-berkeley-long-haul-northern-california-land-trust-homeless-action-center,SFYimby,,88.0
4,1914 FIFTH St,1914 FIFTH ST,37.86823001458789,-122.29929592368056,official_permit,257.0,Under Review,True,False,,,,
5,2425 DURANT Ave,2425 DURANT AVE,37.8679506825664,-122.2601418162647,both,250.0,Pending Final Action,True,True,https://www.berkeleyside.org/2019/03/22/berkeleys-changing-landscape-the-2019-housing-and-development-round-up,Berkeleyside,,93.0
6,2029 UNIVERSITY Ave,2029 UNIVERSITY AVE,37.87226180309335,-122.26983809759253,both,240.0,Pending Final Action,True,True,https://www.berkeleyside.org/2020/11/23/berkeley-ca-building-burning-university-avenue;https://sfyimby.com/2022/05/2067-university-avenue-tops-out-again-in-downtown-berkeley.html;https://www.berkeleyside.org/2022/02/11/berkeley-housing-proposals-university-san-pablo-shattuck;https://www.dailycal.org/2022/02/17/berkeley-development-projects-in-the-works-offering-affordable-units,Berkeleyside,,89.0
7,2601 SAN PABLO Ave,2601 SAN PABLO AVE,37.859267643513995,-122.2886634855373,both,223.0,In Review,True,True,https://sfyimby.com/2023/01/new-renderings-for-2601-san-pablo-avenue-southwest-berkeley.html;https://sfyimby.com/2022/05/17985.html;https://www.berkeleyside.org/2022/02/11/berkeley-housing-proposals-university-san-pablo-shattuck;https://www.dailycal.org/2022/02/17/berkeley-development-projects-in-the-works-offering-affordable-units,SFYimby,,89.0
8,2920 SHATTUCK Ave,2920 SHATTUCK AVE,37.856347300047105,-122.26693200991916,both,221.0,In Review,True,False,,,,88.0
9,1899 OXFORD St,1899 OXFORD ST,37.87449601168048,-122.26605902083782,both,212.0,Pending Final Action,True,True,https://sfyimby.com/2023/08/environmental-study-starts-for-26-story-tower-in-downtown-berkeley.html;https://www.berkeleyside.org/2024/09/13/hub-berkeley-zoning-adjustments-board-use-permit;https://sfyimby.com/2022/06/expanded-plans-for-2128-oxford-street-in-downtown-berkeley.html,SFYimby,,86.0
10,3000 SHATTUCK Ave,3000 SHATTUCK AVE,37.855008098375635,-122.2667720415266,both,166.0,In Review,True,True,https://www.berkeleyside.org/2019/03/22/berkeleys-changing-landscape-the-2019-housing-and-development-round-up;https://sfyimby.com/2023/01/meeting-scheduled-tomorrow-for-3000-shattuck-avenue-in-berkeley.html;https://sfyimby.com/2023/05/new-renderings-for-3000-shattuck-avenue-in-south-berkeley-alameda-county.html;https://sfyimby.com/category/3000-shattuck-avenue;https://www.berkeleyside.org/2022/04/18/berkeley-housing-shattuck-ashby-downtown-nx-ventures,SFYimby,,100.0
11,1581 UNIVERSITY Ave,1581 UNIVERSITY AVE,37.870882755452506,-122.28064826022822,both,158.0,Corrections Pending Applicant,True,True,https://sfyimby.com/2022/05/modera-acheson-commons-now-leasing-in-downtown-berkeley.html;https://sfyimby.com/2021/03/construction-underway-for-modera-acheson-commons-downtown-berkeley.html,SFYimby,,89.0
12,2115 KITTREDGE St,2115 KITTREDGE ST,37.868856897471,-122.26718328846704,both,148.0,Incomplete Pending Applicant,True,True,https://www.berkeleyside.org/2025/07/09/california-theatre-project-downtown-berkeley-developer-pulls-out;https://www.berkeleyside.org/2022/05/19/proposal-for-california-theatre-would-keep-facade-add-high-rise-housing;https://sfyimby.com/2023/03/new-renderings-for-california-theater-tower-in-downtown-berkeley.html;https://www.berkeleyside.org/2022/04/22/berkeley-california-theatre-housing-downtown;https://sfyimby.com/2022/05/housing-proposed-to-retain-facade-of-california-theatre-in-downtown-berkeley.html;https://www.berkeleyside.org/2024/06/07/cal-theatre-art-deco-facade-neon-marquee;https://sfyimby.com/2024/06/city-rejects-appeal-for-2115-kittredge-street-downtown-berkeley.html,Berkeleyside,,94.0
13,2420 SHATTUCK Ave,2420 SHATTUCK AVE,37.86528832390181,-122.26798878801938,both,132.0,In Review,True,True,https://sfyimby.com/2023/05/construction-underway-for-2440-shattuck-avenue-in-downtown-berkeley.html;https://sfyimby.com/2022/04/new-renderings-for-2440-shattuck-avenue-downtown-berkeley.html;https://www.berkeleyside.org/2022/02/11/berkeley-housing-proposals-university-san-pablo-shattuck;https://www.dailycal.org/2022/02/17/berkeley-development-projects-in-the-works-offering-affordable-units,SFYimby,,94.0
14,2847 SHATTUCK Ave,2847 SHATTUCK AVE,37.85697777002751,-122.26638589710848,both,132.0,Incomplete Pending Applicant,True,True,https://sfyimby.com/2022/05/preliminary-permit-filed-for-2847-shattuck-avenue-south-berkeley.html;https://sfyimby.com/2024/01/sb-330-application-for-2847-shattuck-avenue-in-south-berkeley.html;https://www.berkeleyside.org/2022/04/18/berkeley-housing-shattuck-ashby-downtown-nx-ventures,SFYimby,,100.0
