source_address,best_match,score,category,gellerman_name,gellerman_lat,gellerman_lon
,,0,no_match,North Berkeley BART station,,
1110 UNIVERSITY AVE,1710 UNIVERSITY AVE,95,confirmed,1110 University Ave,37.8689155,-122.2913064
2001 4TH ST,2200 FIFTH ST,75,possible,2001 Fourth St,37.8673494,-122.2992662
1367 UNIVERSITY AVE,1790 UNIVERSITY AVE,89,confirmed,1367 University Ave,,
1498 UNIVERSITY AVE,1581 UNIVERSITY AVE,89,confirmed,1498 University Ave,,
1581 UNIVERSITY AVE,1581 UNIVERSITY AVE,100,confirmed,1581 University Ave,,
1598 UNIVERSITY AVE,1581 UNIVERSITY AVE,95,confirmed,1598 University Ave,,
1652 UNIVERSITY AVE,1581 UNIVERSITY AVE,89,confirmed,1652 University Ave,,
1698 UNIVERSITY AVE,1581 UNIVERSITY AVE,89,confirmed,1698 University Ave,,
1717 UNIVERSITY AVE,1710 UNIVERSITY AVE,95,confirmed,1717 University Ave,37.8717428,-122.2733746
1776 UNIVERSITY AVE,1790 UNIVERSITY AVE,89,confirmed,1776 University Ave,,
1812 UNIVERSITY,1581 UNIVERSITY AVE,82,possible,1812 University,,
1885 UNIVERSITY AVE,1581 UNIVERSITY AVE,89,confirmed,1885 University Ave,,
1974 UNIVERSITY AVE,1740 UNIVERSITY AVE,95,confirmed,1974 University Ave,37.8715977,-122.2709704
2000 UNIVERSITY AVE,2029 UNIVERSITY AVE,89,confirmed,2000 University Ave,,
2029 UNIVERSITY,2029 UNIVERSITY AVE,88,confirmed,2029 University,37.872174,-122.2697254
2067 UNIVERSITY AVE,2029 UNIVERSITY AVE,89,confirmed,2067 University Ave,,
2111 UNIVERSITY AVE,1581 UNIVERSITY AVE,89,confirmed,2111 University Ave,,
1601 OXFORD ST,1899 OXFORD ST,79,possible,1601 Oxford St,37.8785111,-122.2663856
2099 MARTIN LUTHER KING,,65,no_match,2099 Martin Luther King,,
1935 ADDISON ST,1731 ADDISON ST,87,confirmed,1935 Addison St,,
2012 BERKELEY WY,130 BERKELEY SQ,71,possible,2012 Berkeley Way,,
1950 ADDISON ST,1731 ADDISON ST,80,possible,1950 Addison St,,
2009 ADDISON ST,2009 ADDISON ST,100,confirmed,2009 Addison St,,
2100 MILVIA ST,2109 MILVIA ST,93,confirmed,2100 Milvia St,,
2109 MILVIA ST,2109 MILVIA ST,100,confirmed,2109 Milvia St,37.8706053,-122.2704118
2072 ADDISON,2009 ADDISON ST,74,possible,2072 Addison,,
2118 MILVIA ST,2109 MILVIA ST,86,confirmed,2118 Milvia St,37.8701463,-122.2708028
2037 KALA BAGAI WY,,51,no_match,2037 Kala Bagai Wy,,
2023 SHATTUCK AVE,2276 SHATTUCK AVE,88,confirmed,2023 Shattuck Ave,,
1130 OXFORD ST,1899 OXFORD ST,79,possible,1130 Oxford St,,
1773 OXFORD ST,1899 OXFORD ST,79,possible,1773 Oxford St,,
1899 OXFORD ST,1899 OXFORD ST,100,confirmed,1899 Oxford St,,
2128 OXFORD ST,1899 OXFORD ST,86,confirmed,2128 Oxford St,,
,,0,no_match,UC Berkeley Innovation Zone,37.8719545,-122.2664545
2132 CENTER ST,2001 CENTER ST,86,confirmed,2132 Center St,37.8703255,-122.2665631
,,0,no_match,130-134 Berkeley Square,,
2109 VIRGINIA ST,2109 VIRGINIA ST,100,confirmed,2109 Virginia St,,
