needs_review,,,,,,,,,,,,,
,Permit Number,Address,Description,old_units,new_units,net_unit_change,unit_extraction_status,Record Status,manual_old_units,manual_new_units,manual_net_change,notes,needs_review
Not “Column M”,,,,,,,,,,,,,
,ZP2017-0081,1804 EUCLID Ave,Use Permit to add 3 wireless antennas to an existing facility with three existing antennas for a total of six antennas at 1804 Euclid previously approved by AUP; re-design and re-organize the antenna installation to include a new concealment screen,,,,not_housing,Pending,,,,,FALSE
,ZP2017-0184,1731 LA VEREDA Rd,Legalize an existing carport on the front half of a vacant lot and fence that exceeds 7 feet in height within a required setback.,,,,not_housing,In Review,,,,,FALSE
,ZP2019-0088,2140 CURTIS St,to legalize an existing 8' tall fence within the required side yard to the north and side yard to the east,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2020-0104,1914 FIFTH St,"demolish an existing parking lot and portions of an existing commercial building and construct a new seven-story mixed-use building with 5,500 square feet of commercial area and 257 dwelling units, including 26 Very Low-Income Units, pursuant to State Density Bonus law.",0,257,257,extracted,Under Review,,,,,FALSE
,ZP2021-0127,1710 UNIVERSITY Ave,"Demolish existing commercial building. Construct 4-story, mixed-use building for non-profit religious education and living spaces",0,16,16,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2021-0155,624 VINCENTE Ave,Legalize a fence over 6 ft. in height within side and rear setbacks.,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2021-0158,130 BERKELEY Sq,50 unit multi-family mixed-use project,0,50,50,extracted,In Review,,,,,FALSE
,ZP2021-0215,1201 SECOND St,Demolish existing commercial buildings and construct new commercial buildings/structures and new recycling equipment at COB Transfer station. Includes EIR.,,,,not_housing,Under Review,,,,,FALSE
,ZP2022-0021,2449 DWIGHT Way,"Renovation of existing 4-story 27,456 square foot, mixed-use building, and add 4 additional stories of residential dwelling units, resulting in an 8-story, 56,217 square foot, mixed-use building, containing 51 residential dwelling units (24 replacement units, plus 27 new dwelling units including 2 Very Low Income units), a 3,600 square-foot ground-floor commercial space.",24,51,27,extracted,In Review,,,,,FALSE
,ZP2022-0046,3000 SHATTUCK Ave,"Demolish the existing gas station, and construct a 10-story (114 feet) mixed-use building utilizing a Density Bonus, with 166 dwellings, including 17 Very Low-Income units, and 1,043 square-feet of commercial space.",0,166,166,extracted,In Review,,,,,FALSE
,ZP2022-0070,1960 SAN ANTONIO Ave,"Add an accessory building (pool house), a garage more than 24 feet in length with 10 parking spaces, an unenclosed spa/hot tub, and retaining walls in the front setback off San Antonio Avenue.",,,,not_housing,In Review,,,,,FALSE
,ZP2022-0116,2920 SHATTUCK Ave,"Demolish two commercial buildings and construct a 10-story mixed-use residential building with 221 dwelling units, ground-floor retail, and nine uncovered parking spaces utilizing State Density Bonus.",0,221,221,extracted,In Review,,,,,FALSE
,ZP2022-0132,2847 SHATTUCK Ave,"DEMOLITION OF EXISTING 1 STORY COMMERCIAL STRUCTURE AND CONSTRUCTION OF A NEW 9-STORY MIXED-USE RESIDENTIAL BUILDING WITH 112 DWELLING UNITS, GROUND LEVEL LOBBIES AND COMMERCIAL SPACE WITH STATE OF CALIFORNIA DENSITY BONUS.",0,112,112,extracted,Incomplete Pending Applicant,,,,,FALSE
,ZP2022-0149,2420 SHATTUCK Ave,Demolish two non-residential buildings and construct a 17-story mixed-use residential building with ground-floor commercial and 132 dwelling units utilizing State Density Bonus.,0,132,132,extracted,In Review,,,,,FALSE
,ZP2022-0165,1628 EIGHTH St,Alterations to the roofline of the porch in the nonconforming front setback,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2022-0171,2601 SAN PABLO Ave,"Demolish existing development (includes vacant residential) to construct an 8-story mixed-use building 223 dwelling units over a 1,940 commercial space, utilizing density bonus.",0,223,223,extracted,In Review,,,,,FALSE
,ZP2022-0172,1139 KEELER Ave,"Construction of a three-story single-family residence with an attached ADU in the Hillside Overlay.  The project includes the construction of a detached partially subterranean garage, the installation of a tram system in the side setback, and retaining walls within the same setback as the tram.",0,1,1,extracted,Under Review,,,,,FALSE
,ZP2023-0038,1527 DELAWARE St,"To construct a 2-story addition, 17 feet, 8 inches in average height, to an existing accessory building 5 inches from the side (west) lot line.",,,,not_housing,In Review,,,,,FALSE
,ZP2023-0058,2720 SAN PABLO Ave,"Demolish the existing non-residential building, and build an eight-story (89 foot) mixed-use building with 84 dwelling units, including nine Very Low-Income units, and 1,244 square feet of commercial space using a State Density Bonus.",0,84,84,extracted,Under Review,,,,,FALSE
,ZP2023-0063,1850 BERRYMAN St,"construct a new 3-unit building on a vacant lot (recently split form LM site 1300 MLK) above 28' in height (33'-5""), and place a parking spot within the required front setback.",0,3,3,extracted,Incomplete Pending Applicant,,,,,FALSE
,ZP2023-0070,1790 UNIVERSITY Ave,"Demolish two nonresidential structures and one single-family residence, and construct a 5-story (56 feet) mixed-use building with 17 dwelling units (two VLI) and 950 square feet of ground-floor retail, utilizing State Density Bonus",0,17,17,extracted,Under Review,,,,,FALSE
,ZP2023-0096,2680 BANCROFT Way,"Conversion of the Bancroft Hotel (17,466 SF) into a residential building, with 15 dwelling units and 22 Group Living Accommodation rooms for a total of 37 units.  This project will retain & rehabilitate the original facades of the historic building.",0,37,37,extracted,Incomplete Pending Applicant,,,,,FALSE
,ZP2023-0097,1180 KEELER Ave,construct a fence exceeding 6 feet in height and construct a retaining wall within the side setback. (response to N.O.V),,,,not_housing,In Review,,,,,FALSE
,ZP2023-0099,2109 MILVIA St,"SB-330 Project: Removal of existing parking lot to construct a new 14-story mixed-use building with 105 dwelling, ground level lobbies and commercial space.  This is a State of California Density Bonus Project.",0,105,105,extracted,In Review,,,,,FALSE
