address_display,net_units,year
0 LE ROY Ave,1.0,2024.0
1015 UNIVERSITY Ave,9.0,2022.0
1111 ALLSTON Way,1.0,2025.0
1136 KEITH Ave,0.0,2024.0
1139 KEELER Ave,1.0,2022.0
1236 DWIGHT Way,2.0,2025.0
130 BERKELEY Sq,50.0,2021.0
1419 GRANT St,2.0,2025.0
1420 FIFTH St,1.0,2025.0
1449 CORNELL Ave,3.0,2025.0
1464 SIXTH St,3.0,2025.0
1514 WALNUT St,3.0,2025.0
1515 DERBY St,2.0,2025.0
1522 JOSEPHINE St,0.0,2025.0
1581 UNIVERSITY Ave,158.0,2024.0
1618 SIXTH St,4.0,2025.0
1650 FIFTH St,3.0,2025.0
1710 UNIVERSITY Ave,16.0,2021.0
1716 SEVENTH St,2.0,2025.0
1731 ADDISON St,1.0,2025.0
1740 SAN PABLO Ave,54.0,2023.0
1740 UNIVERSITY Ave,12.0,2025.0
1745 CEDAR St,6.0,2025.0
1750 SACRAMENTO St,739.0,2024.0
1790 UNIVERSITY Ave,17.0,2023.0
1850 BERRYMAN St,6.0,2025.0
1899 OXFORD St,212.0,2024.0
1914 FIFTH St,257.0,2020.0
1922 FRANCISCO St,2.0,2025.0
1939 MARIN Ave,1.0,2024.0
2001 CENTER St,58.0,2025.0
2029 UNIVERSITY Ave,240.0,2024.0
2036 BANCROFT Way,85.0,2024.0
2109 MILVIA St,105.0,2023.0
2109 VIRGINIA St,131.0,2024.0
2115 KITTREDGE St,148.0,2024.0
2138 KITTREDGE St,63.0,2024.0
2147 SAN PABLO Ave,15.0,2024.0
2190 SHATTUCK Ave,36.0,2025.0
2200 FIFTH St,8.0,2025.0
2201 BLAKE St,3.0,2024.0
2204 DWIGHT Way,2.0,2024.0
2205 BLAKE St,3.0,2024.0
2221 FIFTH St,3.0,2022.0
2276 SHATTUCK Ave,336.0,2024.0
2298 DURANT Ave,65.0,2024.0
2317 CHANNING Way,5.0,2024.0
2326 DURANT Ave,70.0,2024.0
2328 GRANT St,1.0,2024.0
2330 DURANT Ave,68.0,2025.0
2372 ELLSWORTH St,63.0,2024.0
2420 ASHBY Ave,4.0,2024.0
2420 SHATTUCK Ave,132.0,2022.0
2425 DURANT Ave,250.0,2024.0
2428 MILVIA St,8.0,2024.0
2437 WARRING St,4.0,2025.0
2441 LE CONTE Ave,65.0,2023.0
2449 DWIGHT Way,27.0,2022.0
2450 SHATTUCK Ave,94.0,2024.0
2455 TELEGRAPH Ave,68.0,2025.0
2601 SAN PABLO Ave,223.0,2022.0
2614 TELEGRAPH Ave,31.0,2024.0
2641 COLLEGE Ave,3.0,2025.0
2655 SHATTUCK Ave,97.0,2024.0
2660 BANCROFT Way,78.0,2023.0
2680 BANCROFT Way,37.0,2023.0
2700 SHATTUCK Ave,276.0,2024.0
2705 BENVENUE Ave,-1.0,2025.0
2712 TELEGRAPH Ave,57.0,2025.0
2720 SAN PABLO Ave,113.0,2024.0
2733 SAN PABLO Ave,32.0,2023.0
2808 NINTH St,2.0,2025.0
2812 EIGHTH St,3.0,2025.0
2847 SHATTUCK Ave,132.0,2024.0
2920 SHATTUCK Ave,221.0,2022.0
2942 COLLEGE Ave,4.0,2021.0
2955 SHATTUCK Ave,74.0,2024.0
3000 SHATTUCK Ave,166.0,2022.0
3001 BENVENUE Ave,1.0,2025.0
3035 COLBY St,0.0,2024.0
3101 SACRAMENTO St,3.0,2025.0
40 HILL Rd,1.0,2020.0
5 W PARNASSUS Ct,1.0,2025.0
659 GRIZZLY PEAK Blvd,1.0,2025.0
